Operation;Planned Start;Planned Finish;Actual Start;Actual End;Machine;Tool;DonePercent;Temperature;Shift;NeededChangeover;CurrentTime;TimeSinceLastInterrupt
Produkt 3:Planposition 1;6/10/2024 12:55:27 PM;6/10/2024 1:05:27 PM;6/10/2024 12:55:27 PM;6/10/2024 1:05:27 PM;M3.227;1;100;21.744410825040013;Day;False;6/10/2024 12:55:27 PM;0:0:0
Produkt 1:Planposition 1;6/10/2024 12:55:27 PM;6/10/2024 1:05:27 PM;6/10/2024 12:55:27 PM;6/10/2024 1:06:27 PM;M1.84a;1;100;21.744410825040013;Day;False;6/10/2024 12:55:27 PM;0:0:0
Produkt 5:Planposition 1;6/10/2024 12:55:27 PM;6/10/2024 1:07:27 PM;6/10/2024 12:55:27 PM;6/10/2024 1:07:27 PM;M4.0cc;1;100;21.744410825040013;Day;False;6/10/2024 12:55:27 PM;0:0:0
Produkt 5:Planposition 2;6/10/2024 1:07:27 PM;6/10/2024 1:12:27 PM;6/10/2024 1:07:27 PM;6/10/2024 1:12:27 PM;M9.60c;1;100;22.497725135025473;Day;False;6/10/2024 1:07:27 PM;0:12:0
Produkt 3:Planposition 2;6/10/2024 1:05:27 PM;6/10/2024 1:15:27 PM;6/10/2024 1:05:27 PM;6/10/2024 1:15:27 PM;M6.8ad;1;100;22.497725135025473;Day;False;6/10/2024 1:05:27 PM;0:10:0
Produkt 3:Planposition 1;6/10/2024 1:05:27 PM;6/10/2024 1:15:27 PM;6/10/2024 1:05:27 PM;6/10/2024 1:16:27 PM;M3.227;1;100;22.497725135025473;Day;False;6/10/2024 1:05:27 PM;0:10:0
Produkt 1:Planposition 1;6/10/2024 1:05:27 PM;6/10/2024 1:15:27 PM;6/10/2024 1:06:27 PM;6/10/2024 1:17:27 PM;M1.84a;1;100;22.497725135025473;Day;False;6/10/2024 1:06:27 PM;0:11:0
Produkt 5:Planposition 1;6/10/2024 1:05:27 PM;6/10/2024 1:17:27 PM;6/10/2024 1:07:27 PM;6/10/2024 1:19:27 PM;M4.0cc;1;100;22.497725135025473;Day;False;6/10/2024 1:07:27 PM;0:12:0
Produkt 1:Planposition 2;6/10/2024 1:05:27 PM;6/10/2024 1:17:27 PM;6/10/2024 1:06:27 PM;6/10/2024 1:19:39 PM;M5.bd4;1;100;22.497725135025473;Day;False;6/10/2024 1:06:27 PM;0:11:0
Produkt 5:Planposition 2;6/10/2024 1:19:27 PM;6/10/2024 1:24:27 PM;6/10/2024 1:19:27 PM;6/10/2024 1:24:57 PM;M9.60c;1;100;22.497725135025473;Day;False;6/10/2024 1:19:27 PM;0:24:0
Produkt 3:Planposition 3;6/10/2024 1:15:27 PM;6/10/2024 1:25:27 PM;6/10/2024 1:15:27 PM;6/10/2024 1:25:27 PM;M8.3e5;1;100;22.497725135025473;Day;False;6/10/2024 1:15:27 PM;0:20:0
Produkt 3:Planposition 1;6/10/2024 1:15:27 PM;6/10/2024 1:25:27 PM;6/10/2024 1:16:27 PM;6/10/2024 1:26:27 PM;M3.227;1;100;22.497725135025473;Day;False;6/10/2024 1:16:27 PM;0:21:0
Produkt 3:Planposition 2;6/10/2024 1:15:27 PM;6/10/2024 1:25:27 PM;6/10/2024 1:16:27 PM;6/10/2024 1:26:27 PM;M6.8ad;1;100;22.497725135025473;Day;False;6/10/2024 1:16:27 PM;0:21:0
Produkt 5:Planposition 3;6/10/2024 1:12:27 PM;6/10/2024 1:27:27 PM;6/10/2024 1:12:27 PM;6/10/2024 1:28:57 PM;M11.be1;1;100;22.497725135025473;Day;False;6/10/2024 1:12:27 PM;0:17:0
Produkt 5:Planposition 1;6/10/2024 1:17:27 PM;6/10/2024 1:29:27 PM;6/10/2024 1:19:27 PM;6/10/2024 1:31:27 PM;M4.0cc;1;100;22.497725135025473;Day;False;6/10/2024 1:19:27 PM;0:24:0
Produkt 1:Planposition 2;6/10/2024 1:17:27 PM;6/10/2024 1:29:27 PM;6/10/2024 1:19:39 PM;6/10/2024 1:31:39 PM;M5.bd4;1;100;22.497725135025473;Day;False;6/10/2024 1:19:39 PM;0:24:12
Produkt 3:Planposition 4;6/10/2024 1:25:27 PM;6/10/2024 1:35:27 PM;6/10/2024 1:25:27 PM;6/10/2024 1:36:27 PM;M10.927;1;100;22.497725135025473;Day;False;6/10/2024 1:25:27 PM;0:30:0
Produkt 3:Planposition 1;6/10/2024 1:25:27 PM;6/10/2024 1:35:27 PM;6/10/2024 1:26:27 PM;6/10/2024 1:36:27 PM;M3.227;1;100;22.497725135025473;Day;False;6/10/2024 1:26:27 PM;0:31:0
Produkt 3:Planposition 3;6/10/2024 1:25:27 PM;6/10/2024 1:35:27 PM;6/10/2024 1:26:27 PM;6/10/2024 1:36:27 PM;M8.3e5;1;100;22.497725135025473;Day;False;6/10/2024 1:26:27 PM;0:31:0
Produkt 5:Planposition 2;6/10/2024 1:29:27 PM;6/10/2024 1:34:27 PM;6/10/2024 1:31:27 PM;6/10/2024 1:36:27 PM;M9.60c;1;100;22.497725135025473;Day;False;6/10/2024 1:31:27 PM;0:36:0
Produkt 3:Planposition 2;6/10/2024 1:25:27 PM;6/10/2024 1:35:27 PM;6/10/2024 1:26:27 PM;6/10/2024 1:37:27 PM;M6.8ad;1;100;22.497725135025473;Day;False;6/10/2024 1:26:27 PM;0:31:0
Produkt 5:Planposition 3;6/10/2024 1:25:27 PM;6/10/2024 1:40:27 PM;6/10/2024 1:28:57 PM;6/10/2024 1:45:27 PM;M11.be1;1;100;22.497725135025473;Day;False;6/10/2024 1:28:57 PM;0:33:30
Produkt 3:Planposition 1;6/10/2024 1:35:27 PM;6/10/2024 1:45:27 PM;6/10/2024 1:36:27 PM;6/10/2024 1:46:27 PM;M3.227;1;100;22.497725135025473;Day;False;6/10/2024 1:36:27 PM;0:41:0
Produkt 3:Planposition 4;6/10/2024 1:35:27 PM;6/10/2024 1:45:27 PM;6/10/2024 1:36:27 PM;6/10/2024 1:46:27 PM;M10.927;1;100;22.497725135025473;Day;False;6/10/2024 1:36:27 PM;0:41:0
Produkt 1:Planposition 3;6/10/2024 1:17:27 PM;6/10/2024 1:42:27 PM;6/10/2024 1:19:39 PM;6/10/2024 1:47:09 PM;M7.227;1;100;22.497725135025473;Day;False;6/10/2024 1:19:39 PM;0:24:12
Produkt 3:Planposition 2;6/10/2024 1:35:27 PM;6/10/2024 1:45:27 PM;6/10/2024 1:37:27 PM;6/10/2024 1:47:27 PM;M6.8ad;1;100;22.497725135025473;Day;False;6/10/2024 1:37:27 PM;0:42:0
Produkt 3:Planposition 1;6/10/2024 1:45:27 PM;6/10/2024 1:55:27 PM;6/10/2024 1:46:27 PM;6/10/2024 1:56:27 PM;M3.227;1;100;22.497725135025473;Day;False;6/10/2024 1:46:27 PM;0:51:0
Produkt 3:Planposition 2;6/10/2024 1:45:27 PM;6/10/2024 1:55:27 PM;6/10/2024 1:47:27 PM;6/10/2024 1:56:27 PM;M6.8ad;1;100;22.497725135025473;Day;False;6/10/2024 1:47:27 PM;0:52:0
Produkt 1:Planposition 4;6/10/2024 1:42:27 PM;6/10/2024 1:52:27 PM;6/10/2024 1:47:09 PM;6/10/2024 1:57:09 PM;M11.be1;1;100;22.497725135025473;Day;False;6/10/2024 1:47:09 PM;0:51:42
Produkt 3:Planposition 3;6/10/2024 1:45:27 PM;6/10/2024 1:55:27 PM;6/10/2024 1:47:27 PM;6/10/2024 1:57:27 PM;M8.3e5;1;100;22.497725135025473;Day;False;6/10/2024 1:47:27 PM;0:52:0
Produkt 2:Planposition 1;6/10/2024 1:45:27 PM;6/10/2024 2:00:27 PM;6/10/2024 1:45:27 PM;6/10/2024 2:00:27 PM;M2.a23;1;100;22.497725135025473;Day;False;6/10/2024 1:45:27 PM;0:50:0
Produkt 3:Planposition 2;6/10/2024 1:55:27 PM;6/10/2024 2:05:27 PM;6/10/2024 1:56:27 PM;6/10/2024 2:06:27 PM;M6.8ad;1;100;22.497725135025473;Day;False;6/10/2024 1:56:27 PM;1:1:0
Produkt 3:Planposition 3;6/10/2024 1:55:27 PM;6/10/2024 2:05:27 PM;6/10/2024 1:57:27 PM;6/10/2024 2:07:27 PM;M8.3e5;1;100;22.497725135025473;Day;False;6/10/2024 1:57:27 PM;1:2:0
Produkt 3:Planposition 4;6/10/2024 1:55:27 PM;6/10/2024 2:05:27 PM;6/10/2024 1:57:27 PM;6/10/2024 2:07:27 PM;M10.927;1;100;22.497725135025473;Day;False;6/10/2024 1:57:27 PM;1:2:0
Produkt 2:Planposition 2;6/10/2024 2:00:27 PM;6/10/2024 2:10:27 PM;6/10/2024 2:00:27 PM;6/10/2024 2:10:27 PM;M5.bd4;1;100;21.411379843289556;Day;False;6/10/2024 2:00:27 PM;1:5:0
