,0,1
0,p2,1
1,p3,1
2,p4,1
3,p3,1
4,p1,1
5,p3,1
6,p1,1
7,p1,1
8,p4,1
9,p1,1
10,p2,1
11,p1,1
12,p4,1
13,p3,1
14,p2,1
15,p2,1
16,p3,1
17,p2,1
18,p3,1
19,p2,1
20,p2,1
21,p1,1
22,p3,1
23,p2,1
24,p1,1
25,p1,1
26,p4,1
27,p1,1
28,p4,1
29,p3,1
30,p3,1
31,p3,1
32,p4,1
33,p2,1
34,p2,1
35,p3,1
36,p4,1
37,p1,1
38,p2,1
39,p1,1
40,p3,1
41,p1,1
42,p3,1
43,p4,1
44,p2,1
45,p2,1
46,p1,1
47,p4,1
48,p2,1
49,p4,1
50,p2,2
51,p3,2
52,p4,2
53,p3,2
54,p1,2
55,p4,2
56,p3,2
57,p1,2
58,p2,2
59,p4,2
60,p1,2
61,p2,2
62,p1,2
63,p2,2
64,p1,2
65,p2,2
66,p2,2
67,p3,2
68,p2,2
69,p3,2
70,p3,2
71,p2,2
72,p4,2
73,p1,2
74,p3,2
75,p4,2
76,p1,2
77,p4,2
78,p1,2
79,p2,2
80,p1,2
81,p3,2
82,p2,2
83,p3,2
84,p3,2
85,p4,2
86,p2,2
87,p3,2
88,p4,2
89,p1,2
90,p1,2
91,p3,2
92,p2,2
93,p1,2
94,p3,2
95,p2,2
96,p1,2
97,p4,2
98,p2,2
99,p4,2
