,last_tool_change,relative_processing_time_deviation,machine_state,cleaning
0,True,1.2,,
1,True,0.9,,
2,False,1.0,,
3,True,1.0,,
4,True,1.2,,
5,True,0.9,,
6,False,1.0,,
7,True,1.2,,
8,False,1.0,,
9,False,1.0,,
10,True,1.0,,
11,True,1.0,,
12,True,1.2,,
13,True,1.0,,
14,True,1.0,,
15,False,1.0,,
16,False,1.0,,
17,True,1.0,,
18,True,0.9,,
19,True,1.0,,
20,False,1.0,,
21,True,1.2,,
22,False,1.0,,
23,True,0.9,,
24,True,0.9,,
25,True,1.2,,
26,False,1.2,,
27,True,0.9,,
28,False,1.0,,
29,False,1.2,,
30,True,1.0,,
31,True,1.2,,
32,False,1.0,,
33,True,1.0,,
34,True,0.9,,
35,False,0.9,,
36,False,1.2,,
37,True,1.0,,
38,True,0.9,,
39,False,1.0,,
40,True,1.2,,
41,True,1.2,,
42,False,1.2,,
43,True,1.0,,
44,True,1.0,,
45,False,1.0,,
46,True,0.9,,
47,True,1.0,,
48,False,1.2,,
49,False,1.0,,
50,False,1.0,,
51,True,1.0,,
52,False,1.0,,
53,True,1.2,,
54,False,1.0,,
55,False,1.0,,
56,False,0.9,,
57,True,1.2,,
58,False,1.0,,
59,True,1.2,,
60,True,1.2,,
61,True,1.0,,
62,True,0.9,,
63,True,1.0,,
64,True,1.0,,
65,False,1.0,,
66,False,1.0,,
67,False,1.0,,
68,False,1.0,,
69,False,1.0,,
70,False,1.0,,
71,True,0.9,,
72,True,0.9,,
73,True,1.2,,
74,True,1.2,,
75,False,1.0,,
76,False,1.2,,
77,False,1.2,,
78,False,0.9,,
79,False,1.0,,
80,False,1.0,,
81,True,1.0,,
82,False,1.0,,
83,False,1.0,,
84,True,1.0,,
85,True,1.0,,
86,True,1.0,,
87,True,1.0,,
88,False,1.0,,
89,False,1.2,,
90,True,0.9,,
91,False,0.9,,
92,False,1.0,,
93,True,1.0,,
94,True,1.2,,
95,True,1.0,,
96,False,1.2,,
97,True,1.0,,
98,True,1.0,,
99,True,1.0,,
100,True,0.9,,
101,True,1.0,,
102,True,1.0,,
103,True,1.2,,
104,True,1.2,,
105,True,0.9,,
106,False,1.0,,
107,False,1.0,,
108,False,1.2,,
109,False,1.0,,
110,False,1.0,,
111,False,0.9,,
112,False,1.0,,
113,False,0.9,,
114,False,1.0,,
115,True,1.0,,
116,False,1.2,,
117,False,1.0,,
118,False,1.0,,
119,False,1.2,,
120,False,1.0,,
121,False,1.0,,
122,False,1.0,,
123,True,1.0,,
124,False,1.0,,
125,False,1.0,,
126,True,1.0,,
127,True,1.2,,
128,True,1.2,,
129,False,1.0,,
130,True,0.9,,
131,True,1.0,,
132,False,0.9,,
133,False,0.9,,
134,True,0.9,,
135,False,1.0,,
136,False,1.0,,
137,False,1.2,,
