Model,makespan,throughput,avg_abs_start_dev,avg_duration_diff,levenshtein_seq,leven_a3_0_seq,toolchange_perc,seed,instance,priority_rule
TruthContinousSmallLogCopyModel_2000,19677.0,37.1,0.1,4.52,1300.0,1950,53.01,83,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.52,0.0,0,59.143,83,2000,fcfs
CausalContinousSmallLogCopyModel,5.0,2.7,8.6,4.52,5.667,17,56.477,83,2000,fcfs
AverageOperationModel,-3.0,-8.5,10.4,4.52,6.0,18,57.81,83,2000,fcfs
LogNormalDistributionModel,13.0,-9.3,18.7,4.52,5.0,15,57.81,83,2000,fcfs
NormalDistributionModel,3.0,0.8,15.6,4.52,9.333,28,55.143,83,2000,fcfs
HistoDistributionModel,33.0,-6.2,26.7,4.52,9.667,29,57.81,83,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19452.0,19.7,0.7,4.66,1300.0,1950,53.687,79,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.66,0.0,0,51.423,79,2000,fcfs
CausalContinousSmallLogCopyModel,-1.0,-1.8,9.4,4.66,3.0,9,53.423,79,2000,fcfs
AverageOperationModel,-3.0,-1.3,13.6,4.66,8.667,26,53.423,79,2000,fcfs
LogNormalDistributionModel,12.0,4.7,32.0,4.66,8.0,24,50.09,79,2000,fcfs
NormalDistributionModel,16.0,-2.2,24.8,4.66,8.667,26,48.09,79,2000,fcfs
HistoDistributionModel,-21.0,0.7,19.2,4.66,5.333,16,47.423,79,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19398.0,2.0,0.4,4.49,1300.0,1950,53.07,108,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.49,0.0,0,48.5,108,2000,fcfs
CausalContinousSmallLogCopyModel,-16.0,-6.9,10.1,4.49,4.667,14,47.167,108,2000,fcfs
AverageOperationModel,-2.0,4.1,10.6,4.49,7.333,22,45.833,108,2000,fcfs
LogNormalDistributionModel,-25.0,-3.1,25.3,4.49,8.333,25,47.167,108,2000,fcfs
NormalDistributionModel,-9.0,-5.1,23.9,4.49,9.333,28,49.833,108,2000,fcfs
HistoDistributionModel,-23.0,11.4,19.2,4.49,7.667,23,47.167,108,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19649.0,8.1,0.0,4.46,1300.0,1950,51.767,85,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.46,0.0,0,53.333,85,2000,fcfs
CausalContinousSmallLogCopyModel,7.0,5.2,10.4,4.46,8.667,26,54.0,85,2000,fcfs
AverageOperationModel,0.0,-2.4,10.2,4.46,7.333,22,54.667,85,2000,fcfs
LogNormalDistributionModel,5.0,15.4,19.5,4.46,7.667,23,54.0,85,2000,fcfs
NormalDistributionModel,-3.0,2.3,11.7,4.46,8.0,24,50.0,85,2000,fcfs
HistoDistributionModel,77.0,17.2,24.4,4.46,11.333,34,54.0,85,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19798.0,6.0,2.5,4.47,1300.0,1950,53.507,92,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.47,0.0,0,51.293,92,2000,fcfs
CausalContinousSmallLogCopyModel,-14.0,5.9,10.1,4.47,6.0,18,49.96,92,2000,fcfs
AverageOperationModel,1.0,-3.4,8.4,4.47,5.0,15,48.627,92,2000,fcfs
LogNormalDistributionModel,-12.0,5.2,11.3,4.47,4.667,14,53.96,92,2000,fcfs
NormalDistributionModel,44.0,-5.3,26.5,4.47,8.667,26,49.96,92,2000,fcfs
HistoDistributionModel,23.0,-3.2,16.8,4.47,7.667,23,48.627,92,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19798.0,33.6,0.2,4.4,1300.0,1950,51.733,107,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.4,0.0,0,47.857,107,2000,fcfs
CausalContinousSmallLogCopyModel,19.0,2.4,11.6,4.4,8.0,24,46.523,107,2000,fcfs
AverageOperationModel,-8.0,-7.3,13.0,4.4,5.667,17,42.523,107,2000,fcfs
LogNormalDistributionModel,37.0,-1.6,27.9,4.4,10.0,30,46.523,107,2000,fcfs
NormalDistributionModel,-22.0,-5.5,11.8,4.4,9.0,27,45.19,107,2000,fcfs
HistoDistributionModel,-24.0,-0.3,20.6,4.4,10.333,31,46.523,107,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19569.0,16.5,0.9,4.98,1300.0,1950,52.607,87,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.98,0.0,0,52.32,87,2000,fcfs
CausalContinousSmallLogCopyModel,-10.0,4.9,8.7,4.98,6.0,18,52.32,87,2000,fcfs
AverageOperationModel,-6.0,-5.1,9.8,4.98,5.0,15,48.32,87,2000,fcfs
LogNormalDistributionModel,16.0,21.7,15.2,4.98,8.0,24,49.653,87,2000,fcfs
NormalDistributionModel,-16.0,-2.3,12.5,4.98,8.0,24,48.32,87,2000,fcfs
HistoDistributionModel,91.0,-2.0,27.8,4.98,8.667,26,46.987,87,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19766.0,9.5,0.9,4.54,1300.0,1950,53.177,86,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.54,0.0,0,46.247,86,2000,fcfs
CausalContinousSmallLogCopyModel,-4.0,-1.1,4.6,4.54,4.333,13,46.247,86,2000,fcfs
AverageOperationModel,7.0,-4.5,7.5,4.54,5.667,17,42.247,86,2000,fcfs
LogNormalDistributionModel,-14.0,3.1,13.2,4.54,8.0,24,40.913,86,2000,fcfs
