,0,1
0,p3,1
1,p4,1
2,p1,1
3,p3,2
4,p4,1
5,p4,2
6,p2,1
7,p4,2
8,p3,1
9,p1,2
10,p2,1
11,p1,1
12,p2,2
13,p3,2
14,p1,1
15,p1,2
16,p4,1
17,p2,2
18,p3,1
19,p1,2
20,p4,1
21,p4,2
22,p1,1
23,p3,2
24,p1,1
25,p1,2
26,p2,1
27,p4,2
28,p1,1
29,p1,2
30,p2,1
31,p2,2
32,p1,1
33,p1,2
34,p3,1
35,p1,2
36,p2,1
37,p2,2
38,p1,1
39,p3,2
40,p2,1
41,p2,2
42,p1,1
43,p1,2
44,p3,1
45,p1,2
46,p2,1
47,p2,2
48,p3,1
49,p3,2
50,p2,1
51,p2,2
52,p3,1
53,p3,2
54,p4,1
55,p2,2
56,p1,1
57,p4,1
58,p3,2
59,p2,1
60,p4,2
61,p4,2
62,p3,1
63,p1,2
64,p2,1
65,p1,1
66,p2,2
67,p3,2
68,p3,1
69,p2,1
70,p1,2
71,p1,1
72,p2,2
73,p3,2
74,p2,1
75,p3,1
76,p2,2
77,p1,2
78,p1,1
79,p3,2
80,p2,1
81,p2,2
82,p1,1
83,p1,2
84,p2,1
85,p2,2
86,p1,1
87,p1,2
88,p2,1
89,p2,2
90,p1,1
91,p1,2
92,p2,2
93,p1,1
94,p1,2
95,p3,1
96,p1,2
97,p3,1
98,p3,2
99,p3,2
