,0,1
0,p1,1
1,p2,1
2,p4,1
3,p2,2
4,p3,1
5,p1,2
6,p2,1
7,p4,2
8,p3,1
9,p3,2
10,p4,1
11,p2,2
12,p3,1
13,p3,2
14,p2,1
15,p4,2
16,p1,1
17,p3,2
18,p4,1
19,p2,2
20,p1,1
21,p1,2
22,p4,1
23,p4,2
24,p1,1
25,p1,2
26,p2,1
27,p4,2
28,p1,1
29,p1,2
30,p2,1
31,p2,2
32,p1,1
33,p1,2
34,p4,1
35,p3,1
36,p2,2
37,p1,2
38,p2,1
39,p4,2
40,p1,1
41,p3,2
42,p4,1
43,p2,2
44,p3,1
45,p1,2
46,p4,1
47,p4,2
48,p4,1
49,p4,2
50,p1,1
51,p3,2
52,p4,1
53,p4,2
54,p3,1
55,p1,2
56,p1,1
57,p3,2
58,p2,1
59,p4,1
60,p4,2
61,p1,1
62,p2,2
63,p4,1
64,p1,2
65,p3,1
66,p1,1
67,p4,1
68,p4,2
69,p2,1
70,p1,2
71,p4,1
72,p1,1
73,p3,2
74,p4,1
75,p3,1
76,p4,2
77,p4,2
78,p4,1
79,p2,2
80,p1,2
81,p1,1
82,p4,2
83,p2,1
84,p1,2
85,p3,1
86,p4,2
87,p3,2
88,p4,2
89,p3,1
90,p1,2
91,p2,2
92,p3,2
93,p3,1
94,p3,2
95,p3,1
96,p3,2
97,p3,1
98,p3,2
99,p3,2
