job_id,product_type,operation_id,machine,tool,start_time,duration,plan_duration,end_time
job3,p1,1,a1_0,1,0.0,18.0,20.0,18.0
job3,p1,2,a3_0,1,26.0,9.0,10.0,35.0
job4,p3,1,a1_0,2,18.0,20.0,20.0,38.0
job4,p3,2,a3_0,2,48.0,10.0,10.0,58.0
job5,p1,1,a1_0,1,38.0,18.0,20.0,56.0
job5,p1,2,a3_0,1,67.0,9.0,10.0,76.0
job6,p4,1,a2_0,2,0.0,17.0,20.0,17.0
job6,p4,2,a3_0,1,17.0,9.0,10.0,26.0
job7,p1,1,a1_0,1,56.0,18.0,20.0,74.0
job7,p1,2,a3_0,1,85.0,9.0,10.0,94.0
job8,p2,1,a2_0,1,17.0,21.0,20.0,38.0
job8,p2,2,a3_0,2,38.0,10.0,10.0,48.0
job9,p4,1,a2_0,2,38.0,17.0,20.0,55.0
job9,p4,2,a3_0,1,58.0,9.0,10.0,67.0
job10,p4,1,a2_0,2,55.0,17.0,20.0,72.0
job10,p4,2,a3_0,1,76.0,9.0,10.0,85.0
job11,p3,1,a1_0,2,74.0,20.0,20.0,94.0
job11,p3,2,a3_0,2,103.0,10.0,10.0,113.0
job12,p3,1,a1_0,2,94.0,20.0,20.0,114.0
job12,p3,2,a3_0,2,123.0,10.0,10.0,133.0
job13,p3,1,a1_0,2,114.0,20.0,20.0,134.0
job13,p3,2,a3_0,2,143.0,10.0,10.0,153.0
job14,p4,1,a2_0,2,72.0,17.0,20.0,89.0
job14,p4,2,a3_0,1,94.0,9.0,10.0,103.0
job15,p1,1,a1_0,1,134.0,18.0,20.0,152.0
job15,p1,2,a3_0,1,163.0,9.0,10.0,172.0
job16,p3,1,a1_0,2,152.0,20.0,20.0,172.0
job16,p3,2,a3_0,2,172.0,10.0,10.0,182.0
job17,p3,1,a1_0,2,172.0,20.0,20.0,192.0
job17,p3,2,a3_0,2,201.0,10.0,10.0,211.0
job18,p2,1,a2_0,1,89.0,21.0,20.0,110.0
job18,p2,2,a3_0,2,113.0,10.0,10.0,123.0
job19,p2,1,a2_0,1,110.0,21.0,20.0,131.0
job19,p2,2,a3_0,2,133.0,10.0,10.0,143.0
job20,p1,1,a1_0,1,192.0,18.0,20.0,210.0
job20,p1,2,a3_0,1,211.0,9.0,10.0,220.0
job21,p3,1,a1_0,2,210.0,20.0,20.0,230.0
job21,p3,2,a3_0,2,239.0,10.0,10.0,249.0
job22,p2,1,a2_0,1,131.0,21.0,20.0,152.0
job22,p2,2,a3_0,2,153.0,10.0,10.0,163.0
job23,p3,1,a1_0,2,230.0,20.0,20.0,250.0
job23,p3,2,a3_0,2,259.0,10.0,10.0,269.0
job24,p2,1,a2_0,1,152.0,21.0,20.0,173.0
job24,p2,2,a3_0,2,182.0,10.0,10.0,192.0
job25,p4,1,a2_0,2,173.0,17.0,20.0,190.0
job25,p4,2,a3_0,1,192.0,9.0,10.0,201.0
job26,p3,1,a1_0,2,250.0,20.0,20.0,270.0
job26,p3,2,a3_0,2,280.0,10.0,10.0,290.0
job27,p3,1,a1_0,2,270.0,20.0,20.0,290.0
job27,p3,2,a3_0,2,299.0,10.0,10.0,309.0
job28,p1,1,a1_0,1,290.0,18.0,20.0,308.0
job28,p1,2,a3_0,1,318.0,9.0,10.0,327.0
job29,p2,1,a2_0,1,190.0,21.0,20.0,211.0
job29,p2,2,a3_0,2,220.0,10.0,10.0,230.0
job30,p4,1,a2_0,2,211.0,17.0,20.0,228.0
job30,p4,2,a3_0,1,230.0,9.0,10.0,239.0
job31,p2,1,a2_0,1,228.0,21.0,20.0,249.0
job31,p2,2,a3_0,2,249.0,10.0,10.0,259.0
job32,p1,1,a1_0,1,308.0,18.0,20.0,326.0
job32,p1,2,a3_0,1,337.0,9.0,10.0,346.0
job33,p2,1,a2_0,1,249.0,21.0,20.0,270.0
job33,p2,2,a3_0,2,270.0,10.0,10.0,280.0
job34,p1,1,a1_0,1,326.0,18.0,20.0,344.0
job34,p1,2,a3_0,1,346.0,9.0,10.0,355.0
job35,p4,1,a2_0,2,270.0,17.0,20.0,287.0
job35,p4,2,a3_0,1,290.0,9.0,10.0,299.0
job36,p3,1,a1_0,2,344.0,20.0,20.0,364.0
job36,p3,2,a3_0,2,374.0,10.0,10.0,384.0
job37,p1,1,a1_0,1,364.0,18.0,20.0,382.0
job37,p1,2,a3_0,1,384.0,9.0,10.0,393.0
job38,p4,1,a2_0,2,287.0,17.0,20.0,304.0
job38,p4,2,a3_0,1,309.0,9.0,10.0,318.0
job39,p2,1,a2_0,1,304.0,21.0,20.0,325.0
job39,p2,2,a3_0,2,327.0,10.0,10.0,337.0
job40,p2,1,a2_0,1,325.0,21.0,20.0,346.0
job40,p2,2,a3_0,2,355.0,10.0,10.0,365.0
job41,p4,1,a2_0,2,346.0,17.0,20.0,363.0
job41,p4,2,a3_0,1,365.0,9.0,10.0,374.0
job42,p1,1,a1_0,1,382.0,18.0,20.0,400.0
job42,p1,2,a3_0,1,403.0,9.0,10.0,412.0
job43,p2,1,a2_0,1,363.0,21.0,20.0,384.0
job43,p2,2,a3_0,2,393.0,10.0,10.0,403.0
job44,p2,1,a2_0,1,384.0,21.0,20.0,405.0
job44,p2,2,a3_0,2,412.0,10.0,10.0,422.0
job45,p4,1,a2_0,2,405.0,17.0,20.0,422.0
job45,p4,2,a3_0,1,432.0,9.0,10.0,441.0
job46,p2,1,a2_0,1,422.0,21.0,20.0,443.0
job46,p2,2,a3_0,2,450.0,10.0,10.0,460.0
job47,p3,1,a1_0,2,400.0,20.0,20.0,420.0
job47,p3,2,a3_0,2,422.0,10.0,10.0,432.0
job48,p1,1,a1_0,1,420.0,18.0,20.0,438.0
job48,p1,2,a3_0,1,441.0,9.0,10.0,450.0
job49,p1,1,a1_0,1,438.0,18.0,20.0,456.0
job49,p1,2,a3_0,1,460.0,9.0,10.0,469.0
job50,p2,1,a2_0,1,443.0,21.0,20.0,464.0
job50,p2,2,a3_0,2,469.0,10.0,10.0,479.0
job51,p3,1,a1_0,2,456.0,20.0,20.0,476.0
job51,p3,2,a3_0,2,479.0,10.0,10.0,489.0
job52,p4,1,a2_0,2,464.0,17.0,20.0,481.0
job52,p4,2,a3_0,1,489.0,9.0,10.0,498.0
