job_id,product_type,operation_id,machine,tool,start_time,duration,plan_duration,end_time
job3,p1,1,a1_0,1,0.0,11.0,20.0,11.0
job3,p1,2,a3_0,1,11.0,7.0,10.0,18.0
job4,p3,1,a1_0,2,11.0,14.0,20.0,25.0
job4,p3,2,a3_0,2,32.0,9.0,10.0,41.0
job5,p1,1,a1_0,1,25.0,18.0,20.0,43.0
job5,p1,2,a3_0,1,60.0,14.0,10.0,74.0
job6,p4,1,a2_0,2,0.0,13.0,20.0,13.0
job6,p4,2,a3_0,1,18.0,14.0,10.0,32.0
job7,p1,1,a1_0,1,43.0,26.0,20.0,69.0
job7,p1,2,a3_0,1,86.0,11.0,10.0,97.0
job8,p2,1,a2_0,1,13.0,13.0,20.0,26.0
job8,p2,2,a3_0,2,41.0,13.0,10.0,54.0
job9,p4,1,a2_0,2,26.0,14.0,20.0,40.0
job9,p4,2,a3_0,1,54.0,6.0,10.0,60.0
job10,p4,1,a2_0,2,40.0,27.0,20.0,67.0
job10,p4,2,a3_0,1,74.0,12.0,10.0,86.0
job11,p3,1,a1_0,2,69.0,10.0,20.0,79.0
job11,p3,2,a3_0,2,97.0,8.0,10.0,105.0
job12,p3,1,a1_0,2,79.0,28.0,20.0,107.0
job12,p3,2,a3_0,2,111.0,10.0,10.0,121.0
job13,p3,1,a1_0,2,107.0,29.0,20.0,136.0
job13,p3,2,a3_0,2,147.0,14.0,10.0,161.0
job14,p4,1,a2_0,2,67.0,27.0,20.0,94.0
job14,p4,2,a3_0,1,105.0,6.0,10.0,111.0
job15,p1,1,a1_0,1,136.0,16.0,20.0,152.0
job15,p1,2,a3_0,1,161.0,8.0,10.0,169.0
job16,p3,1,a1_0,2,152.0,16.0,20.0,168.0
job16,p3,2,a3_0,2,177.0,11.0,10.0,188.0
job17,p3,1,a1_0,2,168.0,27.0,20.0,195.0
job17,p3,2,a3_0,2,201.0,13.0,10.0,214.0
job18,p2,1,a2_0,1,94.0,16.0,20.0,110.0
job18,p2,2,a3_0,2,121.0,13.0,10.0,134.0
job19,p2,1,a2_0,1,110.0,25.0,20.0,135.0
job19,p2,2,a3_0,2,135.0,12.0,10.0,147.0
job20,p1,1,a1_0,1,195.0,11.0,20.0,206.0
job20,p1,2,a3_0,1,222.0,13.0,10.0,235.0
job21,p3,1,a1_0,2,206.0,15.0,20.0,221.0
job21,p3,2,a3_0,2,235.0,7.0,10.0,242.0
job22,p2,1,a2_0,1,135.0,25.0,20.0,160.0
job22,p2,2,a3_0,2,169.0,8.0,10.0,177.0
job23,p3,1,a1_0,2,221.0,24.0,20.0,245.0
job23,p3,2,a3_0,2,264.0,7.0,10.0,271.0
job24,p2,1,a2_0,1,160.0,28.0,20.0,188.0
job24,p2,2,a3_0,2,188.0,13.0,10.0,201.0
job25,p4,1,a2_0,2,188.0,16.0,20.0,204.0
job25,p4,2,a3_0,1,214.0,8.0,10.0,222.0
job26,p3,1,a1_0,2,245.0,28.0,20.0,273.0
job26,p3,2,a3_0,2,298.0,12.0,10.0,310.0
job27,p3,1,a1_0,2,273.0,25.0,20.0,298.0
job27,p3,2,a3_0,2,316.0,9.0,10.0,325.0
job28,p1,1,a1_0,1,298.0,13.0,20.0,311.0
job28,p1,2,a3_0,1,325.0,9.0,10.0,334.0
job29,p2,1,a2_0,1,204.0,18.0,20.0,222.0
job29,p2,2,a3_0,2,242.0,15.0,10.0,257.0
job30,p4,1,a2_0,2,222.0,11.0,20.0,233.0
job30,p4,2,a3_0,1,257.0,7.0,10.0,264.0
job31,p2,1,a2_0,1,233.0,16.0,20.0,249.0
job31,p2,2,a3_0,2,271.0,13.0,10.0,284.0
job32,p1,1,a1_0,1,311.0,26.0,20.0,337.0
job32,p1,2,a3_0,1,353.0,6.0,10.0,359.0
job33,p2,1,a2_0,1,249.0,23.0,20.0,272.0
job33,p2,2,a3_0,2,284.0,14.0,10.0,298.0
job34,p1,1,a1_0,1,337.0,24.0,20.0,361.0
job34,p1,2,a3_0,1,368.0,8.0,10.0,376.0
job35,p4,1,a2_0,2,272.0,16.0,20.0,288.0
job35,p4,2,a3_0,1,310.0,6.0,10.0,316.0
job36,p3,1,a1_0,2,361.0,19.0,20.0,380.0
job36,p3,2,a3_0,2,394.0,15.0,10.0,409.0
job37,p1,1,a1_0,1,380.0,15.0,20.0,395.0
job37,p1,2,a3_0,1,409.0,8.0,10.0,417.0
job38,p4,1,a2_0,2,288.0,25.0,20.0,313.0
job38,p4,2,a3_0,1,334.0,12.0,10.0,346.0
job39,p2,1,a2_0,1,313.0,10.0,20.0,323.0
job39,p2,2,a3_0,2,346.0,7.0,10.0,353.0
job40,p2,1,a2_0,1,323.0,23.0,20.0,346.0
job40,p2,2,a3_0,2,359.0,9.0,10.0,368.0
job41,p4,1,a2_0,2,346.0,17.0,20.0,363.0
job41,p4,2,a3_0,1,376.0,12.0,10.0,388.0
job42,p1,1,a1_0,1,395.0,27.0,20.0,422.0
job42,p1,2,a3_0,1,432.0,13.0,10.0,445.0
job43,p2,1,a2_0,1,363.0,13.0,20.0,376.0
job43,p2,2,a3_0,2,388.0,6.0,10.0,394.0
job44,p2,1,a2_0,1,376.0,28.0,20.0,404.0
