job_id,product_type,operation_id,machine,tool,start_time,duration,plan_duration,end_time
job3,p1,1,a1_0,1,0,27,20.0,27
job3,p1,2,a3_0,1,27,14,10.0,41
job4,p1,1,a1_0,1,27,11,20.0,38
job4,p1,2,a3_0,1,48,14,10.0,62
job5,p3,1,a1_0,2,38,27,20.0,65
job5,p3,2,a3_0,2,70,13,10.0,83
job6,p1,1,a1_0,1,65,28,20.0,93
job6,p1,2,a3_0,1,95,15,10.0,110
job7,p4,1,a2_0,2,0,36,20.0,36
job7,p4,2,a3_0,1,41,7,10.0,48
job8,p4,1,a2_0,2,36,28,20.0,64
job8,p4,2,a3_0,1,64,6,10.0,70
job9,p3,1,a1_0,2,93,25,20.0,118
job9,p3,2,a3_0,2,130,7,10.0,137
job10,p2,1,a2_0,1,64,14,20.0,78
job10,p2,2,a3_0,2,83,12,10.0,95
job11,p4,1,a2_0,2,78,23,20.0,101
job11,p4,2,a3_0,1,110,12,10.0,122
job12,p1,1,a1_0,1,118,13,20.0,131
job12,p1,2,a3_0,1,143,7,10.0,150
job13,p3,1,a1_0,2,131,12,20.0,143
job13,p3,2,a3_0,2,150,12,10.0,162
job14,p2,1,a2_0,1,101,13,20.0,114
job14,p2,2,a3_0,2,122,8,10.0,130
job15,p2,1,a2_0,1,114,12,20.0,126
job15,p2,2,a3_0,2,137,6,10.0,143
job16,p4,1,a2_0,2,126,23,20.0,149
job16,p4,2,a3_0,1,162,5,10.0,167
job17,p1,1,a1_0,1,143,27,20.0,170
job17,p1,2,a3_0,1,170,11,10.0,181
job18,p4,1,a2_0,2,149,30,20.0,179
job18,p4,2,a3_0,1,181,11,10.0,192
job19,p4,1,a2_0,2,179,30,20.0,209
job19,p4,2,a3_0,1,214,6,10.0,220
job20,p1,1,a1_0,1,170,11,20.0,181
job20,p1,2,a3_0,1,192,7,10.0,199
job21,p4,1,a2_0,2,209,35,20.0,244
job21,p4,2,a3_0,1,244,6,10.0,250
job22,p2,1,a2_0,1,244,14,20.0,258
job22,p2,2,a3_0,2,265,13,10.0,278
job23,p3,1,a1_0,2,181,25,20.0,206
job23,p3,2,a3_0,2,206,8,10.0,214
job24,p2,1,a2_0,1,258,15,20.0,273
job24,p2,2,a3_0,2,278,8,10.0,286
job25,p3,1,a1_0,2,206,13,20.0,219
job25,p3,2,a3_0,2,220,7,10.0,227
job26,p4,1,a2_0,2,273,11,20.0,284
job26,p4,2,a3_0,1,286,6,10.0,292
job27,p2,1,a2_0,1,284,26,20.0,310
job27,p2,2,a3_0,2,319,8,10.0,327
job28,p3,1,a1_0,2,219,13,20.0,232
job28,p3,2,a3_0,2,232,8,10.0,240
job29,p4,1,a2_0,2,310,12,20.0,322
job29,p4,2,a3_0,1,342,6,10.0,348
job30,p4,1,a2_0,2,322,21,20.0,343
job30,p4,2,a3_0,1,359,11,10.0,370
job31,p3,1,a1_0,2,232,26,20.0,258
job31,p3,2,a3_0,2,258,7,10.0,265
job32,p2,1,a2_0,1,343,28,20.0,371
job32,p2,2,a3_0,2,389,7,10.0,396
job33,p2,1,a2_0,1,371,28,20.0,399
job33,p2,2,a3_0,2,412,13,10.0,425
job34,p2,1,a2_0,1,399,18,20.0,417
job34,p2,2,a3_0,2,425,8,10.0,433
job35,p2,1,a2_0,1,417,28,20.0,445
job35,p2,2,a3_0,2,445,13,10.0,458
job36,p4,1,a2_0,2,445,11,20.0,456
job36,p4,2,a3_0,1,458,12,10.0,470
job37,p4,1,a2_0,2,456,14,20.0,470
job37,p4,2,a3_0,1,470,6,10.0,476
job38,p1,1,a1_0,1,258,28,20.0,286
job38,p1,2,a3_0,1,292,13,10.0,305
job39,p2,1,a2_0,1,470,14,20.0,484
job39,p2,2,a3_0,2,484,8,10.0,492
job40,p1,1,a1_0,1,286,11,20.0,297
job40,p1,2,a3_0,1,305,14,10.0,319
job41,p4,1,a2_0,2,484,25,20.0,509
job41,p4,2,a3_0,1,509,13,10.0,522
job42,p1,1,a1_0,1,297,15,20.0,312
job42,p1,2,a3_0,1,327,15,10.0,342
job43,p2,1,a2_0,1,509,11,20.0,520
job43,p2,2,a3_0,2,522,8,10.0,530
job44,p1,1,a1_0,1,312,12,20.0,324
job44,p1,2,a3_0,1,348,11,10.0,359
job45,p1,1,a1_0,1,324,26,20.0,350
job45,p1,2,a3_0,1,370,7,10.0,377
job46,p4,1,a2_0,2,520,22,20.0,542
job46,p4,2,a3_0,1,542,14,10.0,556
job47,p2,1,a2_0,1,542,14,20.0,556
job47,p2,2,a3_0,2,556,6,10.0,562
job48,p3,1,a1_0,2,350,14,20.0,364
job48,p3,2,a3_0,2,377,12,10.0,389
job49,p4,1,a2_0,2,556,24,20.0,580
job49,p4,2,a3_0,1,580,6,10.0,586
job50,p3,1,a1_0,2,364,18,20.0,382
job50,p3,2,a3_0,2,396,16,10.0,412
job51,p4,1,a2_0,2,580,11,20.0,591
job51,p4,2,a3_0,1,591,6,10.0,597
job52,p4,1,a2_0,2,591,17,20.0,608
job52,p4,2,a3_0,1,608,15,10.0,623
