job_id,product_type,operation_id,machine,tool,start_time,duration,plan_duration,end_time
job3,p2,1,a2_0,1,0,29,20.0,29
job3,p2,2,a3_0,2,29,14,10.0,43
job4,p1,1,a1_0,1,0,22,20.0,22
job4,p1,2,a3_0,1,22,7,10.0,29
job5,p4,1,a2_0,2,29,22,20.0,51
job5,p4,2,a3_0,1,51,17,10.0,68
job6,p3,1,a1_0,2,22,30,20.0,52
job6,p3,2,a3_0,2,68,5,10.0,73
job7,p3,1,a1_0,2,52,11,20.0,63
job7,p3,2,a3_0,2,73,11,10.0,84
job8,p3,1,a1_0,2,63,18,20.0,81
job8,p3,2,a3_0,2,93,10,10.0,103
job9,p4,1,a2_0,2,51,27,20.0,78
job9,p4,2,a3_0,1,84,9,10.0,93
job10,p3,1,a1_0,2,81,19,20.0,100
job10,p3,2,a3_0,2,103,13,10.0,116
job11,p1,1,a1_0,1,100,16,20.0,116
job11,p1,2,a3_0,1,129,7,10.0,136
job12,p4,1,a2_0,2,78,35,20.0,113
job12,p4,2,a3_0,1,116,13,10.0,129
job13,p1,1,a1_0,1,116,13,20.0,129
job13,p1,2,a3_0,1,142,10,10.0,152
job14,p1,1,a1_0,1,129,19,20.0,148
job14,p1,2,a3_0,1,152,11,10.0,163
job15,p1,1,a1_0,1,148,40,20.0,188
job15,p1,2,a3_0,1,192,11,10.0,203
job16,p2,1,a2_0,1,113,16,20.0,129
job16,p2,2,a3_0,2,136,6,10.0,142
job17,p3,1,a1_0,2,188,18,20.0,206
job17,p3,2,a3_0,2,215,6,10.0,221
job18,p1,1,a1_0,1,206,11,20.0,217
job18,p1,2,a3_0,1,221,9,10.0,230
job19,p1,1,a1_0,1,217,22,20.0,239
job19,p1,2,a3_0,1,239,15,10.0,254
job20,p2,1,a2_0,1,129,36,20.0,165
job20,p2,2,a3_0,2,165,14,10.0,179
job21,p4,1,a2_0,2,165,19,20.0,184
job21,p4,2,a3_0,1,184,8,10.0,192
job22,p1,1,a1_0,1,239,32,20.0,271
job22,p1,2,a3_0,1,271,10,10.0,281
job23,p4,1,a2_0,2,184,20,20.0,204
job23,p4,2,a3_0,1,204,11,10.0,215
job24,p1,1,a1_0,1,271,11,20.0,282
job24,p1,2,a3_0,1,294,8,10.0,302
job25,p4,1,a2_0,2,204,27,20.0,231
job25,p4,2,a3_0,1,231,8,10.0,239
job26,p1,1,a1_0,1,282,13,20.0,295
job26,p1,2,a3_0,1,302,11,10.0,313
job27,p4,1,a2_0,2,231,30,20.0,261
job27,p4,2,a3_0,1,261,6,10.0,267
job28,p4,1,a2_0,2,261,21,20.0,282
job28,p4,2,a3_0,1,282,12,10.0,294
job29,p4,1,a2_0,2,282,26,20.0,308
job29,p4,2,a3_0,1,313,12,10.0,325
job30,p3,1,a1_0,2,295,18,20.0,313
job30,p3,2,a3_0,2,325,12,10.0,337
job31,p4,1,a2_0,2,308,17,20.0,325
job31,p4,2,a3_0,1,337,8,10.0,345
job32,p4,1,a2_0,2,325,25,20.0,350
job32,p4,2,a3_0,1,363,17,10.0,380
job33,p1,1,a1_0,1,313,24,20.0,337
job33,p1,2,a3_0,1,345,18,10.0,363
job34,p2,1,a2_0,1,350,24,20.0,374
job34,p2,2,a3_0,2,407,9,10.0,416
job35,p2,1,a2_0,1,374,21,20.0,395
job35,p2,2,a3_0,2,436,6,10.0,442
job36,p2,1,a2_0,1,395,33,20.0,428
job36,p2,2,a3_0,2,474,19,10.0,493
job37,p3,1,a1_0,2,337,15,20.0,352
job37,p3,2,a3_0,2,380,12,10.0,392
job38,p2,1,a2_0,1,428,20,20.0,448
job38,p2,2,a3_0,2,493,7,10.0,500
job39,p2,1,a2_0,1,448,18,20.0,466
job39,p2,2,a3_0,2,516,9,10.0,525
job40,p1,1,a1_0,1,352,12,20.0,364
job40,p1,2,a3_0,1,392,15,10.0,407
job41,p2,1,a2_0,1,466,28,20.0,494
job41,p2,2,a3_0,2,536,8,10.0,544
job42,p2,1,a2_0,1,494,18,20.0,512
job42,p2,2,a3_0,2,544,13,10.0,557
job43,p4,1,a2_0,2,512,22,20.0,534
job43,p4,2,a3_0,1,557,17,10.0,574
job44,p1,1,a1_0,1,364,16,20.0,380
job44,p1,2,a3_0,1,416,20,10.0,436
job45,p1,1,a1_0,1,380,15,20.0,395
job45,p1,2,a3_0,1,442,11,10.0,453
job46,p3,1,a1_0,2,395,12,20.0,407
job46,p3,2,a3_0,2,453,9,10.0,462
job47,p1,1,a1_0,1,407,14,20.0,421
job47,p1,2,a3_0,1,462,12,10.0,474
job48,p2,1,a2_0,1,534,14,20.0,548
job48,p2,2,a3_0,2,574,8,10.0,582
job49,p3,1,a1_0,2,421,30,20.0,451
job49,p3,2,a3_0,2,500,16,10.0,516
job50,p4,1,a2_0,2,548,19,20.0,567
job50,p4,2,a3_0,1,582,7,10.0,589
job51,p2,1,a2_0,1,567,17,20.0,584
job51,p2,2,a3_0,2,589,6,10.0,595
job52,p1,1,a1_0,1,451,16,20.0,467
job52,p1,2,a3_0,1,525,11,10.0,536
