job_id,product_type,operation_id,machine,tool,start_time,duration,plan_duration,end_time
job3,p3,1,a1_0,2,0,23,20.0,23
job3,p3,2,a3_0,2,34,9,10.0,43
job4,p1,1,a1_0,1,23,15,20.0,38
job4,p1,2,a3_0,1,43,10,10.0,53
job5,p4,1,a2_0,2,0,22,20.0,22
job5,p4,2,a3_0,1,22,12,10.0,34
job6,p1,1,a1_0,1,38,25,20.0,63
job6,p1,2,a3_0,1,69,10,10.0,79
job7,p3,1,a1_0,2,63,24,20.0,87
job7,p3,2,a3_0,2,92,16,10.0,108
job8,p1,1,a1_0,1,87,15,20.0,102
job8,p1,2,a3_0,1,124,7,10.0,131
job9,p2,1,a2_0,1,22,21,20.0,43
job9,p2,2,a3_0,2,53,8,10.0,61
job10,p3,1,a1_0,2,102,23,20.0,125
job10,p3,2,a3_0,2,143,10,10.0,153
job11,p3,1,a1_0,2,125,21,20.0,146
job11,p3,2,a3_0,2,163,6,10.0,169
job12,p4,1,a2_0,2,43,19,20.0,62
job12,p4,2,a3_0,1,62,7,10.0,69
job13,p2,1,a2_0,1,62,19,20.0,81
job13,p2,2,a3_0,2,81,11,10.0,92
job14,p2,1,a2_0,1,81,16,20.0,97
job14,p2,2,a3_0,2,108,16,10.0,124
job15,p2,1,a2_0,1,97,23,20.0,120
job15,p2,2,a3_0,2,131,12,10.0,143
job16,p3,1,a1_0,2,146,23,20.0,169
job16,p3,2,a3_0,2,182,8,10.0,190
job17,p4,1,a2_0,2,120,11,20.0,131
job17,p4,2,a3_0,1,153,10,10.0,163
job18,p1,1,a1_0,1,169,14,20.0,183
job18,p1,2,a3_0,1,190,8,10.0,198
job19,p3,1,a1_0,2,183,17,20.0,200
job19,p3,2,a3_0,2,209,3,10.0,212
job20,p2,1,a2_0,1,131,37,20.0,168
job20,p2,2,a3_0,2,169,13,10.0,182
job21,p1,1,a1_0,1,200,18,20.0,218
job21,p1,2,a3_0,1,218,8,10.0,226
job22,p3,1,a1_0,2,218,15,20.0,233
job22,p3,2,a3_0,2,240,11,10.0,251
job23,p2,1,a2_0,1,168,28,20.0,196
job23,p2,2,a3_0,2,198,11,10.0,209
job24,p3,1,a1_0,2,233,16,20.0,249
job24,p3,2,a3_0,2,265,8,10.0,273
job25,p2,1,a2_0,1,196,23,20.0,219
job25,p2,2,a3_0,2,226,14,10.0,240
job26,p2,1,a2_0,1,219,21,20.0,240
job26,p2,2,a3_0,2,251,14,10.0,265
job27,p1,1,a1_0,1,249,17,20.0,266
job27,p1,2,a3_0,1,283,8,10.0,291
job28,p4,1,a2_0,2,240,20,20.0,260
job28,p4,2,a3_0,1,273,10,10.0,283
job29,p4,1,a2_0,2,260,24,20.0,284
job29,p4,2,a3_0,1,291,12,10.0,303
job30,p4,1,a2_0,2,284,16,20.0,300
job30,p4,2,a3_0,1,315,9,10.0,324
job31,p3,1,a1_0,2,266,19,20.0,285
job31,p3,2,a3_0,2,303,8,10.0,311
job32,p3,1,a1_0,2,285,12,20.0,297
job32,p3,2,a3_0,2,311,4,10.0,315
job33,p3,1,a1_0,2,297,7,20.0,304
job33,p3,2,a3_0,2,324,13,10.0,337
job34,p3,1,a1_0,2,304,14,20.0,318
job34,p3,2,a3_0,2,337,7,10.0,344
job35,p2,1,a2_0,1,300,20,20.0,320
job35,p2,2,a3_0,2,344,6,10.0,350
job36,p1,1,a1_0,1,318,21,20.0,339
job36,p1,2,a3_0,1,360,9,10.0,369
job37,p2,1,a2_0,1,320,9,20.0,329
job37,p2,2,a3_0,2,350,10,10.0,360
job38,p2,1,a2_0,1,329,36,20.0,365
job38,p2,2,a3_0,2,382,9,10.0,391
job39,p3,1,a1_0,2,339,23,20.0,362
job39,p3,2,a3_0,2,369,13,10.0,382
job40,p4,1,a2_0,2,365,14,20.0,379
job40,p4,2,a3_0,1,391,10,10.0,401
job41,p2,1,a2_0,1,379,10,20.0,389
job41,p2,2,a3_0,2,414,15,10.0,429
job42,p2,1,a2_0,1,389,23,20.0,412
job42,p2,2,a3_0,2,443,8,10.0,451
job43,p2,1,a2_0,1,412,17,20.0,429
job43,p2,2,a3_0,2,451,11,10.0,462
job44,p3,1,a1_0,2,362,19,20.0,381
job44,p3,2,a3_0,2,401,13,10.0,414
job45,p3,1,a1_0,2,381,23,20.0,404
job45,p3,2,a3_0,2,429,14,10.0,443
job46,p3,1,a1_0,2,404,27,20.0,431
job46,p3,2,a3_0,2,462,17,10.0,479
job47,p2,1,a2_0,1,429,30,20.0,459
job47,p2,2,a3_0,2,490,9,10.0,499
job48,p4,1,a2_0,2,459,17,20.0,476
job48,p4,2,a3_0,1,508,12,10.0,520
job49,p1,1,a1_0,1,431,11,20.0,442
job49,p1,2,a3_0,1,479,11,10.0,490
job50,p2,1,a2_0,1,476,31,20.0,507
job50,p2,2,a3_0,2,520,12,10.0,532
job51,p1,1,a1_0,1,442,28,20.0,470
job51,p1,2,a3_0,1,499,9,10.0,508
job52,p2,1,a2_0,1,507,27,20.0,534
job52,p2,2,a3_0,2,534,6,10.0,540
