job_id,product_type,operation_id,machine,tool,start_time,duration,plan_duration,end_time
job3,p3,1,a1_0,2,0.0,12.0,20.0,12.0
job3,p3,2,a3_0,2,12.0,7.0,10.0,19.0
job4,p1,1,a1_0,1,12.0,17.0,20.0,29.0
job4,p1,2,a3_0,1,33.0,7.0,10.0,40.0
job5,p1,1,a1_0,1,29.0,31.0,20.0,60.0
job5,p1,2,a3_0,1,63.0,13.0,10.0,76.0
job6,p2,1,a2_0,1,0.0,14.0,20.0,14.0
job6,p2,2,a3_0,2,19.0,14.0,10.0,33.0
job7,p4,1,a2_0,2,14.0,17.0,20.0,31.0
job7,p4,2,a3_0,1,40.0,12.0,10.0,52.0
job8,p2,1,a2_0,1,31.0,11.0,20.0,42.0
job8,p2,2,a3_0,2,52.0,6.0,10.0,58.0
job9,p4,1,a2_0,2,42.0,16.0,20.0,58.0
job9,p4,2,a3_0,1,58.0,5.0,10.0,63.0
job10,p3,1,a1_0,2,60.0,10.0,20.0,70.0
job10,p3,2,a3_0,2,76.0,8.0,10.0,84.0
job11,p3,1,a1_0,2,70.0,29.0,20.0,99.0
job11,p3,2,a3_0,2,99.0,5.0,10.0,104.0
job12,p3,1,a1_0,2,99.0,25.0,20.0,124.0
job12,p3,2,a3_0,2,124.0,8.0,10.0,132.0
job13,p3,1,a1_0,2,124.0,31.0,20.0,155.0
job13,p3,2,a3_0,2,155.0,11.0,10.0,166.0
job14,p3,1,a1_0,2,155.0,26.0,20.0,181.0
job14,p3,2,a3_0,2,181.0,6.0,10.0,187.0
job15,p4,1,a2_0,2,58.0,25.0,20.0,83.0
job15,p4,2,a3_0,1,84.0,7.0,10.0,91.0
job16,p3,1,a1_0,2,181.0,25.0,20.0,206.0
job16,p3,2,a3_0,2,206.0,7.0,10.0,213.0
job17,p3,1,a1_0,2,206.0,21.0,20.0,227.0
job17,p3,2,a3_0,2,227.0,7.0,10.0,234.0
job18,p1,1,a1_0,1,227.0,13.0,20.0,240.0
job18,p1,2,a3_0,1,245.0,13.0,10.0,258.0
job19,p1,1,a1_0,1,240.0,22.0,20.0,262.0
job19,p1,2,a3_0,1,274.0,14.0,10.0,288.0
job20,p1,1,a1_0,1,262.0,28.0,20.0,290.0
job20,p1,2,a3_0,1,295.0,7.0,10.0,302.0
job21,p4,1,a2_0,2,83.0,26.0,20.0,109.0
job21,p4,2,a3_0,1,109.0,6.0,10.0,115.0
job22,p4,1,a2_0,2,109.0,25.0,20.0,134.0
job22,p4,2,a3_0,1,134.0,8.0,10.0,142.0
job23,p2,1,a2_0,1,134.0,13.0,20.0,147.0
job23,p2,2,a3_0,2,147.0,7.0,10.0,154.0
job24,p4,1,a2_0,2,147.0,11.0,20.0,158.0
job24,p4,2,a3_0,1,166.0,7.0,10.0,173.0
job25,p1,1,a1_0,1,290.0,30.0,20.0,320.0
job25,p1,2,a3_0,1,334.0,15.0,10.0,349.0
job26,p4,1,a2_0,2,158.0,24.0,20.0,182.0
job26,p4,2,a3_0,1,187.0,6.0,10.0,193.0
job27,p1,1,a1_0,1,320.0,30.0,20.0,350.0
job27,p1,2,a3_0,1,362.0,12.0,10.0,374.0
job28,p4,1,a2_0,2,182.0,26.0,20.0,208.0
job28,p4,2,a3_0,1,213.0,6.0,10.0,219.0
job29,p3,1,a1_0,2,350.0,12.0,20.0,362.0
job29,p3,2,a3_0,2,374.0,6.0,10.0,380.0
job30,p4,1,a2_0,2,208.0,28.0,20.0,236.0
job30,p4,2,a3_0,1,236.0,9.0,10.0,245.0
job31,p4,1,a2_0,2,236.0,24.0,20.0,260.0
job31,p4,2,a3_0,1,260.0,14.0,10.0,274.0
job32,p2,1,a2_0,1,260.0,17.0,20.0,277.0
job32,p2,2,a3_0,2,288.0,7.0,10.0,295.0
job33,p1,1,a1_0,1,362.0,18.0,20.0,380.0
job33,p1,2,a3_0,1,386.0,15.0,10.0,401.0
job34,p1,1,a1_0,1,380.0,23.0,20.0,403.0
job34,p1,2,a3_0,1,417.0,14.0,10.0,431.0
job35,p4,1,a2_0,2,277.0,17.0,20.0,294.0
job35,p4,2,a3_0,1,302.0,14.0,10.0,316.0
job36,p3,1,a1_0,2,403.0,17.0,20.0,420.0
job36,p3,2,a3_0,2,431.0,8.0,10.0,439.0
job37,p1,1,a1_0,1,420.0,13.0,20.0,433.0
job37,p1,2,a3_0,1,445.0,13.0,10.0,458.0
job38,p4,1,a2_0,2,294.0,24.0,20.0,318.0
job38,p4,2,a3_0,1,318.0,16.0,10.0,334.0
job39,p1,1,a1_0,1,433.0,30.0,20.0,463.0
job39,p1,2,a3_0,1,472.0,17.0,10.0,489.0
job40,p1,1,a1_0,1,463.0,24.0,20.0,487.0
job40,p1,2,a3_0,1,503.0,14.0,10.0,517.0
job41,p4,1,a2_0,2,318.0,30.0,20.0,348.0
job41,p4,2,a3_0,1,349.0,13.0,10.0,362.0
job42,p4,1,a2_0,2,348.0,25.0,20.0,373.0
job42,p4,2,a3_0,1,380.0,6.0,10.0,386.0
job43,p2,1,a2_0,1,373.0,13.0,20.0,386.0
job43,p2,2,a3_0,2,401.0,8.0,10.0,409.0
job44,p4,1,a2_0,2,386.0,11.0,20.0,397.0
job44,p4,2,a3_0,1,409.0,8.0,10.0,417.0
job45,p1,1,a1_0,1,487.0,22.0,20.0,509.0
job45,p1,2,a3_0,1,517.0,16.0,10.0,533.0
job46,p1,1,a1_0,1,509.0,22.0,20.0,531.0
job46,p1,2,a3_0,1,533.0,10.0,10.0,543.0
job47,p4,1,a2_0,2,397.0,28.0,20.0,425.0
job47,p4,2,a3_0,1,439.0,6.0,10.0,445.0
job48,p2,1,a2_0,1,425.0,12.0,20.0,437.0
job48,p2,2,a3_0,2,458.0,6.0,10.0,464.0
job49,p1,1,a1_0,1,531.0,25.0,20.0,556.0
job49,p1,2,a3_0,1,556.0,14.0,10.0,570.0
job50,p4,1,a2_0,2,437.0,10.0,20.0,447.0
job50,p4,2,a3_0,1,464.0,8.0,10.0,472.0
job51,p3,1,a1_0,2,556.0,12.0,20.0,568.0
job51,p3,2,a3_0,2,570.0,6.0,10.0,576.0
job52,p4,1,a2_0,2,447.0,27.0,20.0,474.0
job52,p4,2,a3_0,1,489.0,14.0,10.0,503.0
