Model,makespan,avg_makespan_diff,avg abs start dev,avg duration dev,levenshtein_seq,ndcg_seq,leven_a3_0_seq,ndcg_seq_a3,toolchange_perc,seed,instance,priority_rule
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,52.407,336,1500,dynamic
CausalContinousSmallLogCopyModel,30.0,0.03,24.6,0.1,188.0,0.9999808048,564,0.9999424145,51.827,336,1500,dynamic
AverageOperationModel,70.0,0.07,65.3,0.2,274.667,0.9999966157,824,0.999989847,50.36,336,1500,dynamic
LogNormalDistributionModel,73.0,-0.17,151.9,-0.3,310.0,0.9999620078,930,0.9998860235,50.273,336,1500,dynamic
HistoDistributionModel,-131.0,0.04,76.4,0.1,289.0,0.9999704103,867,0.9999112309,50.36,336,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,53.387,337,1500,dynamic
CausalContinousSmallLogCopyModel,47.0,0.01,35.2,0.0,195.0,0.9999970734,585,0.9999912202,53.12,337,1500,dynamic
AverageOperationModel,-0.0,-0.07,95.1,-0.1,272.333,0.9999946743,817,0.999984023,51.387,337,1500,dynamic
LogNormalDistributionModel,8.0,0.09,98.3,0.2,298.667,0.9999906882,896,0.9999720646,51.343,337,1500,dynamic
HistoDistributionModel,2.0,-0.11,103.9,-0.2,292.333,0.9999707346,877,0.9999122038,50.81,337,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,51.397,338,1500,dynamic
CausalContinousSmallLogCopyModel,-119.0,-0.06,69.3,-0.2,251.667,0.9999993413,755,0.9999980238,51.883,338,1500,dynamic
AverageOperationModel,54.0,-0.01,48.4,-0.1,259.333,0.9999971356,778,0.9999914067,49.307,338,1500,dynamic
LogNormalDistributionModel,19.0,0.11,103.7,0.2,301.333,0.9999759303,904,0.9999277909,49.53,338,1500,dynamic
HistoDistributionModel,-86.0,0.13,85.2,0.2,297.333,0.9999894636,892,0.9999683907,49.93,338,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,53.123,339,1500,dynamic
CausalContinousSmallLogCopyModel,20.0,0.06,40.5,0.2,283.0,0.9999829384,849,0.9999488153,52.547,339,1500,dynamic
AverageOperationModel,-41.0,0.02,52.3,0.1,271.667,0.9999808665,815,0.9999425996,49.923,339,1500,dynamic
LogNormalDistributionModel,-72.0,-0.09,52.5,-0.1,282.0,0.9999778211,846,0.9999334634,50.013,339,1500,dynamic
HistoDistributionModel,3.0,-0.16,76.0,-0.3,299.667,0.9999762647,899,0.9999287941,50.19,339,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,53.657,340,1500,dynamic
CausalContinousSmallLogCopyModel,-25.0,0.05,44.2,0.1,291.333,0.999998003,874,0.9999940091,53.57,340,1500,dynamic
AverageOperationModel,42.0,-0.05,70.1,-0.1,273.0,0.9999901721,819,0.9999705164,51.303,340,1500,dynamic
LogNormalDistributionModel,116.0,-0.12,129.0,-0.2,303.0,0.9999845315,909,0.9999535944,50.857,340,1500,dynamic
HistoDistributionModel,24.0,0.02,54.2,0.1,279.667,0.999992725,839,0.9999781751,51.123,340,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,52.543,341,1500,dynamic
CausalContinousSmallLogCopyModel,48.0,0.01,48.9,0.1,273.0,0.99998071,819,0.99994213,52.387,341,1500,dynamic
AverageOperationModel,-188.0,0.03,95.9,0.1,271.667,0.9999921873,815,0.9999765618,49.3,341,1500,dynamic
LogNormalDistributionModel,144.0,-0.12,114.5,-0.2,304.667,0.9999599814,914,0.9998799443,49.587,341,1500,dynamic
HistoDistributionModel,159.0,0.02,106.5,0.1,290.667,0.9999677937,872,0.999903381,49.233,341,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,53.25,342,1500,dynamic
CausalContinousSmallLogCopyModel,-44.0,0.03,49.5,0.0,298.667,0.9999798315,896,0.9999394946,53.363,342,1500,dynamic
AverageOperationModel,114.0,0.19,114.4,0.4,282.333,0.9999897269,847,0.9999691806,49.517,342,1500,dynamic
LogNormalDistributionModel,-160.0,0.07,98.9,0.1,302.667,0.9999816508,908,0.9999449525,50.85,342,1500,dynamic
HistoDistributionModel,-28.0,-0.0,45.6,0.0,292.333,0.9999881055,877,0.9999643166,50.497,342,1500,dynamic
