Model,makespan,throughput,avg_throughput_diff,avg_abs_start_dev,avg_duration_diff,levenshtein_seq,leven_a3_0_seq,toolchange_perc,seed,instance,priority_rule
TruthModel,-26.0,-5.7,-0.1,54.2,0.86,21.333,8,9.2,8122860,100,dynamic
CausalModel,-13.0,8.3,0.04,52.2,0.97,21.333,8,9.2,8122860,100,dynamic
CausalDoModel,-9.0,1.9,-0.01,53.0,0.93,21.333,8,9.2,8122860,100,dynamic
AverageOperationModel,0.0,19.5,0.14,54.8,0.77,21.333,8,9.2,8122860,100,dynamic
LogNormalDistributionModel,-4.0,13.3,0.02,53.1,0.95,21.333,8,9.2,8122860,100,dynamic
HistoDistributionModel,-20.0,1.3,-0.06,52.0,0.91,21.333,8,9.2,8122860,100,dynamic
BasicModel,54.0,30.1,0.32,69.1,0.82,21.333,8,9.2,8122860,100,dynamic
TruthModel,-9.0,2.5,0.01,61.3,0.92,37.333,18,18.667,8122858,100,dynamic
CausalModel,-23.0,-0.7,-0.01,60.8,0.95,37.333,18,18.667,8122858,100,dynamic
CausalDoModel,-40.0,-11.9,-0.09,63.4,0.89,37.333,18,18.667,8122858,100,dynamic
AverageOperationModel,50.0,23.5,0.29,69.5,0.76,37.333,18,18.667,8122858,100,dynamic
LogNormalDistributionModel,25.0,11.8,0.05,60.3,1.09,37.333,18,18.667,8122858,100,dynamic
HistoDistributionModel,10.0,0.9,-0.01,58.2,0.97,37.333,18,18.667,8122858,100,dynamic
BasicModel,50.0,23.5,0.29,69.5,0.76,37.333,18,18.667,8122858,100,dynamic
TruthModel,50.0,38.5,0.14,81.6,0.94,33.0,66,12.233,8122859,100,dynamic
CausalModel,23.0,17.5,0.0,72.5,0.8,32.0,63,11.01,8122859,100,dynamic
CausalDoModel,23.0,9.9,0.09,73.6,0.91,32.0,63,11.927,8122859,100,dynamic
AverageOperationModel,-23.0,-26.0,-0.03,83.5,0.69,32.667,65,12.537,8122859,100,dynamic
LogNormalDistributionModel,4.0,-0.5,0.05,69.8,0.94,28.0,51,12.233,8122859,100,dynamic
HistoDistributionModel,7.0,-1.2,0.05,69.0,0.95,29.0,54,12.537,8122859,100,dynamic
BasicModel,95.0,56.5,0.36,96.3,0.79,32.667,65,12.537,8122859,100,dynamic
TruthModel,-14.0,-4.6,-0.05,76.7,0.92,31.0,29,26.597,8122855,100,dynamic
CausalModel,13.0,-7.1,0.09,79.3,0.99,33.333,29,28.013,8122855,100,dynamic
CausalDoModel,14.0,6.4,0.04,79.2,0.93,30.0,29,25.887,8122855,100,dynamic
AverageOperationModel,39.0,-2.4,0.17,86.9,0.72,34.667,29,28.013,8122855,100,dynamic
LogNormalDistributionModel,5.0,0.1,-0.02,78.7,0.99,33.333,29,25.887,8122855,100,dynamic
HistoDistributionModel,19.0,-5.7,0.06,80.3,0.89,33.0,29,25.177,8122855,100,dynamic
BasicModel,39.0,13.6,0.28,88.0,0.77,33.333,29,23.05,8122855,100,dynamic
TruthModel,-25.0,-59.7,-0.06,120.6,0.97,24.333,18,34.817,8122857,100,dynamic
CausalModel,-12.0,-51.2,0.0,119.8,0.99,24.333,18,34.817,8122857,100,dynamic
CausalDoModel,-9.0,-52.6,-0.04,118.3,0.95,24.333,18,34.817,8122857,100,dynamic
AverageOperationModel,42.0,-30.7,0.24,122.4,0.83,24.333,18,34.817,8122857,100,dynamic
LogNormalDistributionModel,7.0,-44.6,0.02,115.4,1.08,24.333,18,34.817,8122857,100,dynamic
HistoDistributionModel,7.0,-46.2,0.04,118.2,0.98,24.333,18,34.817,8122857,100,dynamic
BasicModel,42.0,-30.7,0.24,122.4,0.83,24.333,18,34.817,8122857,100,dynamic
