Model,Makespan (vs Truth),avg abs start deviation,avg duration deviation,overall_sequence_similarity,seed,instance,priority_rule
TruthModel,0.0,0.0,0.0,1.0,4467,1000,dynamic
AverageOperationModel,-4.0,39.6,0.0,1.0,4467,1000,dynamic
LogNormalDistributionModel,-25.0,68.2,0.0,1.0,4467,1000,dynamic
CausalModel,11.0,33.6,0.1,1.0,4467,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,4468,1000,dynamic
AverageOperationModel,-23.0,53.5,0.2,1.0,4468,1000,dynamic
LogNormalDistributionModel,-28.0,30.2,0.2,1.0,4468,1000,dynamic
CausalModel,8.0,36.7,0.0,1.0,4468,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,4469,1000,dynamic
AverageOperationModel,-1.0,79.3,0.1,1.0,4469,1000,dynamic
LogNormalDistributionModel,-2.0,27.5,0.1,1.0,4469,1000,dynamic
CausalModel,-8.0,37.8,0.2,1.0,4469,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,4470,1000,dynamic
AverageOperationModel,16.0,41.3,-0.2,1.0,4470,1000,dynamic
LogNormalDistributionModel,41.0,67.4,-0.2,1.0,4470,1000,dynamic
CausalModel,8.0,24.2,0.0,1.0,4470,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,4471,1000,dynamic
AverageOperationModel,-3.0,26.8,0.1,1.0,4471,1000,dynamic
LogNormalDistributionModel,-8.0,25.7,0.0,1.0,4471,1000,dynamic
CausalModel,12.0,17.8,-0.1,1.0,4471,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,4472,1000,dynamic
AverageOperationModel,-11.0,45.6,0.1,1.0,4472,1000,dynamic
LogNormalDistributionModel,-6.0,29.4,0.0,1.0,4472,1000,dynamic
CausalModel,-19.0,36.7,0.1,1.0,4472,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,4473,1000,dynamic
AverageOperationModel,-9.0,38.8,0.1,1.0,4473,1000,dynamic
LogNormalDistributionModel,-3.0,21.6,0.1,1.0,4473,1000,dynamic
CausalModel,-3.0,25.1,0.1,1.0,4473,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,4474,1000,dynamic
AverageOperationModel,12.0,26.8,-0.1,1.0,4474,1000,dynamic
LogNormalDistributionModel,20.0,36.1,-0.1,1.0,4474,1000,dynamic
CausalModel,4.0,29.4,0.0,1.0,4474,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,4475,1000,dynamic
AverageOperationModel,-5.0,45.7,-0.2,1.0,4475,1000,dynamic
LogNormalDistributionModel,0.0,13.4,-0.1,1.0,4475,1000,dynamic
CausalModel,5.0,27.7,-0.1,1.0,4475,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,4476,1000,dynamic
AverageOperationModel,-7.0,50.8,0.2,0.999,4476,1000,dynamic
LogNormalDistributionModel,5.0,26.4,0.0,1.0,4476,1000,dynamic
CausalModel,-2.0,39.3,0.0,0.999,4476,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,4477,1000,dynamic
AverageOperationModel,6.0,45.4,-0.2,1.0,4477,1000,dynamic
LogNormalDistributionModel,-4.0,27.3,0.0,1.0,4477,1000,dynamic
CausalModel,15.0,18.5,0.0,1.0,4477,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,4478,1000,dynamic
AverageOperationModel,14.0,39.6,-0.1,1.0,4478,1000,dynamic
LogNormalDistributionModel,5.0,36.3,-0.1,1.0,4478,1000,dynamic
CausalModel,10.0,36.4,0.0,1.0,4478,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,4479,1000,dynamic
AverageOperationModel,-9.0,23.6,0.0,1.0,4479,1000,dynamic
LogNormalDistributionModel,1.0,26.8,-0.2,1.0,4479,1000,dynamic
CausalModel,-2.0,16.7,-0.1,1.0,4479,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,4480,1000,dynamic
AverageOperationModel,37.0,70.2,-0.2,1.0,4480,1000,dynamic
LogNormalDistributionModel,24.0,64.8,0.1,1.0,4480,1000,dynamic
CausalModel,15.0,30.9,-0.1,1.0,4480,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,4481,1000,dynamic
AverageOperationModel,-28.0,80.8,0.2,1.0,4481,1000,dynamic
LogNormalDistributionModel,-25.0,119.0,0.1,0.999,4481,1000,dynamic
CausalModel,-17.0,42.8,0.1,1.0,4481,1000,dynamic
