Model,makespan (over all),avg abs start deviation,avg duration deviation,overall_sequence_similarity,seed,instance,priority_rule
TruthModel,0.0,0.0,0.0,1.0,5457,2000,fcfs
AverageOperationModel,18.0,48.6,-0.1,1.0,5457,2000,fcfs
LogNormalDistributionModel,-20.0,45.9,-0.1,1.0,5457,2000,fcfs
CausalModel,-43.0,48.7,-0.1,1.0,5457,2000,fcfs
CausalContinousModel,-35.0,49.3,-0.1,1.0,5457,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5458,2000,fcfs
AverageOperationModel,6.0,28.9,-0.1,1.0,5458,2000,fcfs
LogNormalDistributionModel,-9.0,47.6,-0.3,1.0,5458,2000,fcfs
CausalModel,0.0,103.0,0.0,1.0,5458,2000,fcfs
CausalContinousModel,-12.0,68.7,-0.1,1.0,5458,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5459,2000,fcfs
AverageOperationModel,-25.0,85.0,0.1,0.999,5459,2000,fcfs
LogNormalDistributionModel,-24.0,36.2,-0.1,1.0,5459,2000,fcfs
CausalModel,-34.0,76.4,0.2,0.999,5459,2000,fcfs
CausalContinousModel,-31.0,32.8,0.2,1.0,5459,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5460,2000,fcfs
AverageOperationModel,-9.0,37.1,0.0,1.0,5460,2000,fcfs
LogNormalDistributionModel,47.0,64.2,0.0,1.0,5460,2000,fcfs
CausalModel,-24.0,57.2,-0.1,1.0,5460,2000,fcfs
CausalContinousModel,-14.0,78.2,-0.1,1.0,5460,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5461,2000,fcfs
AverageOperationModel,-26.0,64.6,-0.1,1.0,5461,2000,fcfs
LogNormalDistributionModel,-18.0,50.4,-0.1,1.0,5461,2000,fcfs
CausalModel,-16.0,70.9,-0.1,1.0,5461,2000,fcfs
CausalContinousModel,-35.0,74.3,-0.2,1.0,5461,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5462,2000,fcfs
AverageOperationModel,-4.0,54.0,0.1,1.0,5462,2000,fcfs
LogNormalDistributionModel,-6.0,28.3,0.1,1.0,5462,2000,fcfs
CausalModel,-8.0,46.9,-0.1,1.0,5462,2000,fcfs
CausalContinousModel,-12.0,65.8,0.1,1.0,5462,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5463,2000,fcfs
AverageOperationModel,45.0,69.9,0.1,1.0,5463,2000,fcfs
LogNormalDistributionModel,42.0,52.1,0.2,1.0,5463,2000,fcfs
CausalModel,-4.0,27.1,-0.1,1.0,5463,2000,fcfs
CausalContinousModel,14.0,44.1,0.1,1.0,5463,2000,fcfs
