Model,makespan (over all),avg abs start deviation,avg duration deviation,kendall_sequ_sim,levenshtein_seq_sim,a1_0_seq_sim,a2_0_seq_sim,a3_0_seq_sim,seed,instance,priority_rule
TruthContinousSmallModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,448,500,fcfs
CausalContinousSmallModel,-24.0,29.0,-0.4,1.0,0.782,1.0,1.0,0.999,448,500,fcfs
AverageOperationModel,-5.0,16.2,0.0,1.0,0.797,1.0,1.0,1.0,448,500,fcfs
LogNormalDistributionModel,14.0,29.3,0.2,1.0,0.765,1.0,1.0,1.0,448,500,fcfs
TruthContinousSmallModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,449,500,fcfs
CausalContinousSmallModel,37.0,24.9,-0.2,1.0,0.718,1.0,1.0,1.0,449,500,fcfs
AverageOperationModel,32.0,17.5,0.1,1.0,0.854,1.0,1.0,1.0,449,500,fcfs
LogNormalDistributionModel,-2.0,37.8,0.3,0.999,0.567,0.999,1.0,0.999,449,500,fcfs
TruthContinousSmallModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,450,500,fcfs
CausalContinousSmallModel,25.0,28.6,0.1,1.0,0.616,0.999,1.0,1.0,450,500,fcfs
AverageOperationModel,-6.0,21.4,0.1,1.0,0.757,1.0,1.0,1.0,450,500,fcfs
LogNormalDistributionModel,8.0,21.9,0.0,1.0,0.705,1.0,1.0,1.0,450,500,fcfs
