Model,makespan (over all),avg abs start deviation,avg duration deviation,levenshtein_seq_sim,a1_0_seq_sim,a2_0_seq_sim,a3_0_seq_sim,seed,instance,priority_rule
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,154,550,dynamic
CausalContinousModel,8.0,18.9,-0.3,24.667,0,0,74,154,550,dynamic
AverageOperationModel,-2.0,7.2,-0.2,11.333,0,0,34,154,550,dynamic
LogNormalDistributionModel,-4.0,12.3,0.1,22.667,0,0,68,154,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,155,550,dynamic
CausalContinousModel,-2.0,14.0,0.3,22.333,0,0,67,155,550,dynamic
AverageOperationModel,7.0,9.8,0.3,21.667,0,0,65,155,550,dynamic
LogNormalDistributionModel,-14.0,11.9,0.3,23.0,0,0,69,155,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,156,550,dynamic
CausalContinousModel,16.0,11.9,0.1,23.667,0,0,71,156,550,dynamic
AverageOperationModel,4.0,4.9,0.0,4.333,0,0,13,156,550,dynamic
LogNormalDistributionModel,4.0,7.3,0.1,14.333,0,0,43,156,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,157,550,dynamic
CausalContinousModel,-30.0,15.8,0.0,14.333,0,0,43,157,550,dynamic
AverageOperationModel,-12.0,7.5,0.0,10.333,0,0,31,157,550,dynamic
LogNormalDistributionModel,-1.0,10.0,-0.3,14.0,0,0,42,157,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,158,550,dynamic
CausalContinousModel,2.0,11.2,-0.2,18.0,0,0,54,158,550,dynamic
AverageOperationModel,16.0,9.8,-0.1,18.667,0,0,56,158,550,dynamic
LogNormalDistributionModel,-4.0,14.6,-0.1,24.667,0,0,74,158,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,159,550,dynamic
CausalContinousModel,-1.0,10.6,0.2,16.333,0,0,49,159,550,dynamic
AverageOperationModel,-3.0,10.7,-0.2,20.667,0,0,62,159,550,dynamic
LogNormalDistributionModel,-10.0,16.1,-0.7,19.0,0,0,57,159,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,160,550,dynamic
CausalContinousModel,-21.0,13.2,-0.4,21.0,0,0,63,160,550,dynamic
AverageOperationModel,0.0,7.1,-0.1,19.667,0,0,59,160,550,dynamic
LogNormalDistributionModel,14.0,14.4,0.0,10.333,0,0,31,160,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,161,550,dynamic
CausalContinousModel,-1.0,8.7,-0.3,14.0,0,0,42,161,550,dynamic
AverageOperationModel,0.0,8.6,-0.1,16.667,0,0,50,161,550,dynamic
LogNormalDistributionModel,-3.0,7.9,0.3,12.0,0,0,36,161,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,162,550,dynamic
CausalContinousModel,-13.0,19.1,0.4,26.0,0,0,78,162,550,dynamic
AverageOperationModel,-10.0,7.3,-0.2,11.0,0,0,33,162,550,dynamic
LogNormalDistributionModel,-5.0,11.3,0.0,12.333,0,0,37,162,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,163,550,dynamic
CausalContinousModel,-22.0,16.4,-0.1,23.667,0,0,71,163,550,dynamic
AverageOperationModel,-19.0,11.2,-0.3,16.333,0,0,49,163,550,dynamic
LogNormalDistributionModel,11.0,10.7,-0.2,17.333,0,0,52,163,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,164,550,dynamic
CausalContinousModel,-41.0,24.2,0.7,26.667,0,0,80,164,550,dynamic
AverageOperationModel,14.0,12.0,0.4,10.667,0,0,32,164,550,dynamic
LogNormalDistributionModel,-14.0,19.8,0.2,26.0,0,0,78,164,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,165,550,dynamic
CausalContinousModel,3.0,8.4,-0.1,17.667,0,0,53,165,550,dynamic
AverageOperationModel,17.0,10.0,0.0,16.0,0,0,48,165,550,dynamic
LogNormalDistributionModel,-5.0,11.3,0.3,19.667,0,0,59,165,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,166,550,dynamic
CausalContinousModel,24.0,14.4,-0.2,20.0,0,0,60,166,550,dynamic
AverageOperationModel,10.0,6.0,-0.2,6.667,0,0,20,166,550,dynamic
LogNormalDistributionModel,-1.0,7.0,-0.3,15.0,0,0,45,166,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,167,550,dynamic
CausalContinousModel,-11.0,7.2,-0.1,10.667,0,0,32,167,550,dynamic
AverageOperationModel,-7.0,6.0,0.0,15.0,0,0,45,167,550,dynamic
LogNormalDistributionModel,-2.0,6.3,0.3,9.333,0,0,28,167,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,168,550,dynamic
CausalContinousModel,-28.0,14.6,0.0,12.0,0,0,36,168,550,dynamic
AverageOperationModel,-20.0,10.7,0.5,16.0,0,0,48,168,550,dynamic
LogNormalDistributionModel,6.0,8.4,0.3,18.333,0,0,55,168,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,169,550,dynamic
CausalContinousModel,-3.0,7.9,-0.2,19.0,0,0,57,169,550,dynamic
AverageOperationModel,-1.0,4.4,-0.5,9.333,0,0,28,169,550,dynamic
LogNormalDistributionModel,18.0,15.0,-0.6,25.667,0,0,77,169,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,170,550,dynamic
CausalContinousModel,15.0,19.4,0.6,25.333,0,0,76,170,550,dynamic
AverageOperationModel,5.0,10.0,0.4,17.667,0,0,53,170,550,dynamic
LogNormalDistributionModel,13.0,26.4,0.7,26.0,0,0,78,170,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,171,550,dynamic
CausalContinousModel,-8.0,21.1,0.4,26.333,0,0,79,171,550,dynamic
AverageOperationModel,6.0,12.4,0.1,22.333,0,0,67,171,550,dynamic
LogNormalDistributionModel,23.0,16.4,-0.1,23.0,0,0,69,171,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,172,550,dynamic
CausalContinousModel,-3.0,6.9,0.0,13.333,0,0,40,172,550,dynamic
AverageOperationModel,8.0,10.9,0.3,24.333,0,0,73,172,550,dynamic
LogNormalDistributionModel,-11.0,11.2,0.1,18.0,0,0,54,172,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,173,550,dynamic
CausalContinousModel,-15.0,17.4,0.7,25.333,0,0,76,173,550,dynamic
AverageOperationModel,-10.0,14.4,0.3,20.333,0,0,61,173,550,dynamic
LogNormalDistributionModel,8.0,14.1,0.2,25.333,0,0,76,173,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,174,550,dynamic
CausalContinousModel,-2.0,10.9,-0.6,10.333,0,0,31,174,550,dynamic
AverageOperationModel,3.0,7.2,-0.3,16.0,0,0,48,174,550,dynamic
LogNormalDistributionModel,-1.0,8.2,-0.2,18.667,0,0,56,174,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,175,550,dynamic
CausalContinousModel,-3.0,8.0,-0.1,10.333,0,0,31,175,550,dynamic
AverageOperationModel,-2.0,5.8,-0.1,8.667,0,0,26,175,550,dynamic
LogNormalDistributionModel,-20.0,12.6,-0.2,18.667,0,0,56,175,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,176,550,dynamic
CausalContinousModel,9.0,11.2,-0.1,22.667,0,0,68,176,550,dynamic
AverageOperationModel,6.0,13.2,-0.2,20.667,0,0,62,176,550,dynamic
LogNormalDistributionModel,-17.0,11.1,-0.3,20.333,0,0,61,176,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,177,550,dynamic
CausalContinousModel,11.0,9.8,-0.4,16.667,0,0,50,177,550,dynamic
AverageOperationModel,14.0,8.8,-0.2,16.0,0,0,48,177,550,dynamic
LogNormalDistributionModel,1.0,9.2,-0.4,15.0,0,0,45,177,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,178,550,dynamic
CausalContinousModel,5.0,14.5,0.3,25.333,0,0,76,178,550,dynamic
AverageOperationModel,20.0,14.7,0.0,13.667,0,0,41,178,550,dynamic
LogNormalDistributionModel,32.0,17.2,0.0,20.0,0,0,60,178,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,179,550,dynamic
CausalContinousModel,4.0,11.5,0.4,20.333,0,0,61,179,550,dynamic
AverageOperationModel,3.0,7.4,0.5,16.333,0,0,49,179,550,dynamic
LogNormalDistributionModel,12.0,8.9,0.3,16.667,0,0,50,179,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,180,550,dynamic
CausalContinousModel,26.0,17.7,-0.4,24.333,0,0,73,180,550,dynamic
AverageOperationModel,1.0,7.1,-0.2,15.0,0,0,45,180,550,dynamic
LogNormalDistributionModel,-6.0,11.4,-0.2,23.333,0,0,70,180,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,181,550,dynamic
CausalContinousModel,3.0,11.9,0.6,14.333,0,0,43,181,550,dynamic
AverageOperationModel,16.0,9.4,0.1,7.667,0,0,23,181,550,dynamic
LogNormalDistributionModel,16.0,9.5,0.4,15.0,0,0,45,181,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,182,550,dynamic
CausalContinousModel,28.0,15.8,0.2,20.0,0,0,60,182,550,dynamic
AverageOperationModel,14.0,13.8,0.1,14.333,0,0,43,182,550,dynamic
LogNormalDistributionModel,15.0,15.5,0.2,22.0,0,0,66,182,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,183,550,dynamic
CausalContinousModel,33.0,17.9,-0.7,14.0,0,0,42,183,550,dynamic
AverageOperationModel,26.0,14.6,-0.4,21.667,0,0,65,183,550,dynamic
LogNormalDistributionModel,14.0,12.3,-0.5,23.333,0,0,70,183,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,184,550,dynamic
CausalContinousModel,10.0,12.7,0.3,18.667,0,0,56,184,550,dynamic
AverageOperationModel,5.0,18.5,0.2,21.0,0,0,63,184,550,dynamic
LogNormalDistributionModel,-9.0,11.7,0.0,19.0,0,0,57,184,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,185,550,dynamic
CausalContinousModel,8.0,8.2,0.2,16.667,0,0,50,185,550,dynamic
AverageOperationModel,29.0,15.1,0.0,15.0,0,0,45,185,550,dynamic
LogNormalDistributionModel,-10.0,9.1,-0.2,11.333,0,0,34,185,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,186,550,dynamic
CausalContinousModel,2.0,9.5,-0.4,20.333,0,0,61,186,550,dynamic
AverageOperationModel,-18.0,10.7,-0.4,6.333,0,0,19,186,550,dynamic
LogNormalDistributionModel,8.0,10.3,-0.7,8.333,0,0,25,186,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,187,550,dynamic
CausalContinousModel,-8.0,10.1,-0.4,18.0,0,0,54,187,550,dynamic
AverageOperationModel,-3.0,7.9,0.1,13.0,0,0,39,187,550,dynamic
LogNormalDistributionModel,1.0,10.6,0.0,21.0,0,0,63,187,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,188,550,dynamic
CausalContinousModel,-6.0,9.2,0.2,16.667,0,0,50,188,550,dynamic
AverageOperationModel,-1.0,6.2,0.2,17.333,0,0,52,188,550,dynamic
LogNormalDistributionModel,2.0,15.3,0.5,21.0,0,0,63,188,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,189,550,dynamic
CausalContinousModel,-21.0,13.0,0.2,23.333,0,0,70,189,550,dynamic
AverageOperationModel,-12.0,13.0,0.1,17.0,0,0,51,189,550,dynamic
LogNormalDistributionModel,7.0,14.5,0.1,19.0,0,0,57,189,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,190,550,dynamic
CausalContinousModel,0.0,12.2,0.2,22.0,0,0,66,190,550,dynamic
AverageOperationModel,4.0,8.2,0.2,16.0,0,0,48,190,550,dynamic
LogNormalDistributionModel,-17.0,10.3,-0.1,14.667,0,0,44,190,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,191,550,dynamic
CausalContinousModel,3.0,8.6,0.1,15.0,0,0,45,191,550,dynamic
AverageOperationModel,-1.0,5.5,0.0,14.333,0,0,43,191,550,dynamic
LogNormalDistributionModel,-5.0,19.2,0.2,26.0,0,0,78,191,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,192,550,dynamic
CausalContinousModel,-14.0,12.0,0.0,19.333,0,0,58,192,550,dynamic
AverageOperationModel,-8.0,11.1,0.3,24.667,0,0,74,192,550,dynamic
LogNormalDistributionModel,-16.0,10.5,0.6,16.333,0,0,49,192,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,193,550,dynamic
CausalContinousModel,-7.0,7.2,0.5,13.333,0,0,40,193,550,dynamic
AverageOperationModel,12.0,6.9,0.3,5.667,0,0,17,193,550,dynamic
LogNormalDistributionModel,-13.0,14.3,-0.1,15.0,0,0,45,193,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,194,550,dynamic
CausalContinousModel,34.0,18.4,-0.4,17.333,0,0,52,194,550,dynamic
AverageOperationModel,5.0,11.7,0.2,16.0,0,0,48,194,550,dynamic
LogNormalDistributionModel,-2.0,10.8,0.1,16.667,0,0,50,194,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,195,550,dynamic
CausalContinousModel,-13.0,17.8,0.1,27.0,0,0,81,195,550,dynamic
AverageOperationModel,-8.0,6.7,0.3,21.333,0,0,64,195,550,dynamic
LogNormalDistributionModel,-11.0,8.8,0.2,18.667,0,0,56,195,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,196,550,dynamic
CausalContinousModel,-4.0,7.1,0.3,15.667,0,0,47,196,550,dynamic
AverageOperationModel,-8.0,10.7,0.1,25.0,0,0,75,196,550,dynamic
LogNormalDistributionModel,-0.0,6.2,0.1,13.333,0,0,40,196,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,197,550,dynamic
CausalContinousModel,-9.0,8.0,0.5,17.667,0,0,53,197,550,dynamic
AverageOperationModel,7.0,7.3,0.3,15.333,0,0,46,197,550,dynamic
LogNormalDistributionModel,6.0,14.9,0.4,19.333,0,0,58,197,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,198,550,dynamic
CausalContinousModel,-19.0,15.4,0.2,19.0,0,0,57,198,550,dynamic
AverageOperationModel,-4.0,6.3,-0.1,9.0,0,0,27,198,550,dynamic
LogNormalDistributionModel,0.0,7.9,0.0,11.333,0,0,34,198,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,199,550,dynamic
CausalContinousModel,11.0,10.0,-0.4,11.667,0,0,35,199,550,dynamic
AverageOperationModel,14.0,8.2,0.0,5.667,0,0,17,199,550,dynamic
LogNormalDistributionModel,-8.0,9.9,-0.2,8.0,0,0,24,199,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,200,550,dynamic
CausalContinousModel,-4.0,11.9,-0.2,13.333,0,0,40,200,550,dynamic
AverageOperationModel,-4.0,9.3,0.0,23.333,0,0,70,200,550,dynamic
LogNormalDistributionModel,-15.0,10.3,-0.3,11.667,0,0,35,200,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,201,550,dynamic
CausalContinousModel,-7.0,14.5,0.2,25.0,0,0,75,201,550,dynamic
AverageOperationModel,3.0,10.7,0.2,14.333,0,0,43,201,550,dynamic
LogNormalDistributionModel,10.0,11.7,0.4,18.667,0,0,56,201,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,202,550,dynamic
CausalContinousModel,-13.0,12.5,-0.3,18.0,0,0,54,202,550,dynamic
AverageOperationModel,-13.0,8.0,0.0,13.333,0,0,40,202,550,dynamic
