Model,makespan (over all),avg abs start deviation,avg duration deviation,levenshtein_seq_sim,a1_0_seq_sim,a2_0_seq_sim,a3_0_seq_sim,overall_tool_changes,seed,instance,priority_rule
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,42.54,154,550,dynamic
CausalSmallModel,8.0,28.3,-0.2,21.333,0,55,9,43.217,154,550,dynamic
AverageOperationModel,-1.0,12.2,0.0,26.667,0,65,15,42.087,154,550,dynamic
LogNormalDistributionModel,-4.0,11.0,-0.1,22.0,0,53,13,42.087,154,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,27.867,155,550,dynamic
CausalSmallModel,26.0,29.1,0.1,23.333,14,50,6,28.487,155,550,dynamic
AverageOperationModel,-2.0,11.5,0.1,23.667,16,42,13,28.487,155,550,dynamic
LogNormalDistributionModel,4.0,12.2,0.1,26.333,20,45,14,27.693,155,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,31.657,156,550,dynamic
CausalSmallModel,16.0,82.7,0.2,1.333,0,4,0,31.657,156,550,dynamic
AverageOperationModel,0.0,11.3,0.1,4.333,0,13,0,31.657,156,550,dynamic
LogNormalDistributionModel,9.0,29.6,0.2,6.667,0,20,0,31.657,156,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,29.633,157,550,dynamic
CausalSmallModel,11.0,30.1,0.0,10.0,0,0,30,29.633,157,550,dynamic
AverageOperationModel,1.0,11.6,0.0,10.333,0,0,31,29.633,157,550,dynamic
LogNormalDistributionModel,-5.0,10.5,0.0,8.333,0,0,25,29.633,157,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,30.15,158,550,dynamic
CausalSmallModel,13.0,39.3,-0.1,7.0,0,21,0,30.553,158,550,dynamic
AverageOperationModel,-1.0,5.8,-0.1,8.0,0,24,0,30.553,158,550,dynamic
LogNormalDistributionModel,-3.0,12.6,-0.1,14.0,0,42,0,30.553,158,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,30.347,159,550,dynamic
CausalSmallModel,25.0,41.9,0.0,25.0,30,31,14,30.88,159,550,dynamic
AverageOperationModel,5.0,11.9,0.0,26.0,28,32,18,30.863,159,550,dynamic
LogNormalDistributionModel,2.0,10.5,0.0,29.0,38,31,18,30.367,159,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,21.773,160,550,dynamic
CausalSmallModel,11.0,23.9,0.0,7.333,8,0,14,21.773,160,550,dynamic
AverageOperationModel,2.0,8.2,0.1,10.667,8,0,24,21.773,160,550,dynamic
LogNormalDistributionModel,5.0,18.4,-0.1,20.0,17,0,43,22.433,160,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,39.8,161,550,dynamic
CausalSmallModel,8.0,23.2,-0.1,8.333,25,0,0,39.8,161,550,dynamic
AverageOperationModel,1.0,9.0,0.0,8.667,26,0,0,39.8,161,550,dynamic
LogNormalDistributionModel,-1.0,10.8,-0.1,8.667,26,0,0,39.8,161,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,43.617,162,550,dynamic
CausalSmallModel,20.0,36.1,0.0,29.333,0,5,83,43.76,162,550,dynamic
AverageOperationModel,4.0,10.1,0.0,27.333,0,7,75,44.19,162,550,dynamic
LogNormalDistributionModel,-2.0,18.2,-0.2,39.0,0,17,100,43.187,162,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,45.457,163,550,dynamic
CausalSmallModel,16.0,44.7,0.1,12.667,0,0,38,45.62,163,550,dynamic
AverageOperationModel,6.0,15.4,-0.1,16.0,0,0,48,45.293,163,550,dynamic
LogNormalDistributionModel,0.0,10.9,-0.1,19.0,0,0,57,45.947,163,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,36.397,164,550,dynamic
CausalSmallModel,8.0,26.6,-0.1,20.333,43,0,18,36.22,164,550,dynamic
AverageOperationModel,-4.0,12.0,-0.1,17.667,41,0,12,36.397,164,550,dynamic
LogNormalDistributionModel,-2.0,10.2,-0.2,16.667,39,0,11,35.693,164,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,40.17,165,550,dynamic
CausalSmallModel,15.0,35.7,0.0,47.667,59,33,51,40.46,165,550,dynamic
AverageOperationModel,2.0,14.5,0.1,34.333,49,16,38,40.03,165,550,dynamic
LogNormalDistributionModel,6.0,8.6,0.3,21.0,21,18,24,39.913,165,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,46.05,166,550,dynamic
CausalSmallModel,17.0,41.1,0.2,23.333,15,14,41,46.367,166,550,dynamic
AverageOperationModel,-4.0,9.9,0.1,25.667,19,10,48,45.34,166,550,dynamic
LogNormalDistributionModel,-2.0,11.0,0.1,35.667,30,21,56,47.027,166,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,43.58,167,550,dynamic
CausalSmallModel,16.0,20.6,-0.3,25.0,18,0,57,43.58,167,550,dynamic
AverageOperationModel,-3.0,12.4,-0.2,23.333,16,0,54,43.58,167,550,dynamic
LogNormalDistributionModel,-0.0,11.9,-0.2,36.667,38,0,72,43.29,167,550,dynamic
