Model,makespan (over all),avg abs start deviation,avg duration deviation,levenshtein_seq_sim,ndcg_seq_similarity,a1_0_seq_sim,a2_0_seq_sim,a3_0_seq_sim,overall_tool_changes,seed,instance,priority_rule
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,35.963,1547,550,fcfs
CausalContinousModel,12.0,10.1,0.3,7.333,1.0003120342,0,0,22,35.963,1547,550,fcfs
AverageOperationModel,24.0,12.0,0.2,5.667,1.0000018615,0,0,17,35.52,1547,550,fcfs
LogNormalDistributionModel,8.0,12.7,0.1,21.333,1.0000477543,0,0,64,35.073,1547,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,34.187,1548,550,fcfs
CausalContinousModel,3.0,14.4,0.5,18.0,1.0000263169,0,0,54,35.073,1548,550,fcfs
AverageOperationModel,6.0,15.5,0.4,22.0,1.0000520099,0,0,66,35.963,1548,550,fcfs
LogNormalDistributionModel,14.0,17.7,0.7,18.333,1.0000348701,0,0,55,35.52,1548,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,35.073,1549,550,fcfs
CausalContinousModel,20.0,15.7,0.1,17.0,1.0000890824,0,0,51,34.187,1549,550,fcfs
AverageOperationModel,10.0,11.1,0.0,6.667,1.0000013718,0,0,20,35.52,1549,550,fcfs
LogNormalDistributionModel,7.0,13.6,0.2,17.333,1.0002531667,0,0,52,36.853,1549,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,34.63,1550,550,fcfs
CausalContinousModel,23.0,16.1,0.5,18.667,1.0003100731,0,0,56,35.963,1550,550,fcfs
AverageOperationModel,5.0,7.3,0.1,15.333,1.0002894858,0,0,46,35.52,1550,550,fcfs
LogNormalDistributionModel,9.0,10.2,0.0,19.0,1.0003049034,0,0,57,35.963,1550,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,34.63,1551,550,fcfs
CausalContinousModel,15.0,15.1,0.4,20.0,1.0000269813,0,0,60,36.853,1551,550,fcfs
AverageOperationModel,16.0,12.6,0.3,22.0,1.0003358651,0,0,66,35.52,1551,550,fcfs
LogNormalDistributionModel,16.0,10.5,0.8,13.667,1.0002451273,0,0,41,35.073,1551,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,35.52,1552,550,fcfs
CausalContinousModel,18.0,14.1,0.6,21.667,1.000334527,0,0,65,34.187,1552,550,fcfs
AverageOperationModel,4.0,6.5,0.3,9.333,1.0000050176,0,0,28,35.963,1552,550,fcfs
LogNormalDistributionModel,1.0,9.4,0.6,12.0,1.0000069441,0,0,36,35.52,1552,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,33.74,1553,550,fcfs
CausalContinousModel,24.0,14.4,0.1,15.667,1.0000371104,0,0,47,35.963,1553,550,fcfs
AverageOperationModel,9.0,5.8,0.1,12.667,1.00029345,0,0,38,34.187,1553,550,fcfs
LogNormalDistributionModel,7.0,10.7,0.1,19.333,1.0000445825,0,0,58,34.63,1553,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,35.963,1554,550,fcfs
CausalContinousModel,14.0,9.9,0.0,18.0,1.0002889925,0,0,54,34.63,1554,550,fcfs
AverageOperationModel,11.0,10.1,0.3,5.0,1.0000424421,0,0,15,35.52,1554,550,fcfs
LogNormalDistributionModel,13.0,10.2,0.6,16.333,1.0002948804,0,0,49,35.52,1554,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,35.073,1555,550,fcfs
CausalContinousModel,7.0,8.8,0.3,14.667,1.0002885661,0,0,44,34.187,1555,550,fcfs
AverageOperationModel,5.0,6.3,0.3,15.667,1.0000494309,0,0,47,35.52,1555,550,fcfs
LogNormalDistributionModel,5.0,9.0,0.2,9.333,1.0000420707,0,0,28,35.52,1555,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,36.853,1556,550,fcfs
CausalContinousModel,21.0,21.8,0.5,22.667,1.0000977556,0,0,68,34.63,1556,550,fcfs
AverageOperationModel,16.0,13.0,0.3,18.0,1.0000164761,0,0,54,35.52,1556,550,fcfs
LogNormalDistributionModel,11.0,15.0,0.5,19.0,1.0002926557,0,0,57,35.963,1556,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,34.187,1557,550,fcfs
CausalContinousModel,6.0,10.3,0.5,9.0,1.0000069644,0,0,27,33.297,1557,550,fcfs
AverageOperationModel,6.0,11.3,0.2,15.0,1.0003249887,0,0,45,34.187,1557,550,fcfs
LogNormalDistributionModel,9.0,15.3,0.1,21.333,1.0002838542,0,0,64,35.52,1557,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,33.74,1558,550,fcfs
CausalContinousModel,10.0,10.2,0.2,17.667,1.0002585366,0,0,53,35.073,1558,550,fcfs
AverageOperationModel,4.0,4.9,0.1,10.333,1.0000799975,0,0,31,33.74,1558,550,fcfs
LogNormalDistributionModel,10.0,12.3,0.1,19.667,1.0002726133,0,0,59,35.073,1558,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,34.187,1559,550,fcfs
CausalContinousModel,15.0,13.0,0.6,21.333,1.0003306882,0,0,64,35.52,1559,550,fcfs
AverageOperationModel,2.0,6.6,0.2,13.0,1.0000114624,0,0,39,34.187,1559,550,fcfs
LogNormalDistributionModel,11.0,17.1,0.4,16.0,1.0003432875,0,0,48,34.63,1559,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,35.963,1560,550,fcfs
CausalContinousModel,4.0,7.8,0.2,15.667,1.0000068959,0,0,47,36.407,1560,550,fcfs
AverageOperationModel,21.0,11.8,0.3,12.333,1.0000033323,0,0,37,36.407,1560,550,fcfs
LogNormalDistributionModel,18.0,17.6,0.0,16.667,1.0000229048,0,0,50,37.297,1560,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,35.073,1561,550,fcfs
CausalContinousModel,27.0,18.3,0.5,20.0,1.0000392644,0,0,60,35.963,1561,550,fcfs
AverageOperationModel,7.0,8.9,0.4,21.333,1.0003370845,0,0,64,35.52,1561,550,fcfs
LogNormalDistributionModel,12.0,10.1,0.3,16.333,1.000330998,0,0,49,33.74,1561,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,35.52,1562,550,fcfs
CausalContinousModel,2.0,11.7,0.2,13.667,1.0003033051,0,0,41,35.52,1562,550,fcfs
AverageOperationModel,11.0,8.1,0.1,12.667,1.0003049234,0,0,38,35.52,1562,550,fcfs
LogNormalDistributionModel,2.0,12.1,0.1,20.0,1.0000426304,0,0,60,35.963,1562,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,33.74,1563,550,fcfs
CausalContinousModel,27.0,14.4,0.2,12.333,1.0000083692,0,0,37,34.187,1563,550,fcfs
AverageOperationModel,24.0,13.8,0.2,14.0,1.000319184,0,0,42,35.52,1563,550,fcfs
LogNormalDistributionModel,17.0,10.3,0.3,10.0,1.0002914325,0,0,30,33.74,1563,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,35.073,1564,550,fcfs
CausalContinousModel,21.0,12.2,0.4,12.333,1.0000378668,0,0,37,35.52,1564,550,fcfs
AverageOperationModel,16.0,9.1,0.1,16.333,1.0000151996,0,0,49,34.187,1564,550,fcfs
LogNormalDistributionModel,0.0,6.8,0.0,13.333,1.0000121326,0,0,40,35.963,1564,550,fcfs
