job_id,product_type,operation_id,machine,start_time,duration,plan_duration,end_time
job100,p2,1,a1_0,0,15,15,15
job100,p2,2,a4_0,0,45,45,45
job100,p2,4,a2_0,0,30,30,30
job10,p1,1,a1_0,15,30,30,45
job101,p2,1,a1_0,45,15,15,60
job101,p2,2,a4_0,45,45,45,90
job101,p2,4,a2_0,30,30,30,60
job10,p1,2,a2_0,60,45,45,105
job102,p2,1,a1_0,60,15,15,75
job102,p2,2,a4_0,90,45,45,135
job102,p2,4,a2_0,105,30,30,135
job10,p1,3,a1_0,75,15,15,90
job103,p1,1,a1_0,90,30,30,120
job103,p1,2,a2_0,135,45,45,180
job103,p1,3,a1_0,120,15,15,135
job104,p2,1,a1_0,135,15,15,150
job104,p2,2,a4_0,135,45,45,180
job104,p2,4,a2_0,180,30,30,210
job105,p2,1,a1_0,150,15,15,165
job105,p2,2,a4_0,180,45,45,225
job105,p2,4,a2_0,210,30,30,240
job106,p2,1,a1_0,165,15,15,180
job106,p2,2,a4_0,225,45,45,270
job106,p2,4,a2_0,240,30,30,270
job107,p1,1,a1_0,180,30,30,210
job107,p1,2,a2_0,270,45,45,315
job107,p1,3,a1_0,210,15,15,225
job108,p2,1,a1_0,225,15,15,240
job108,p2,2,a4_0,270,45,45,315
job108,p2,4,a2_0,315,30,30,345
job109,p1,1,a1_0,240,30,30,270
job109,p1,2,a2_0,345,45,45,390
job109,p1,3,a1_0,270,15,15,285
job110,p1,1,a1_0,285,30,30,315
job110,p1,2,a2_0,390,45,45,435
job110,p1,3,a1_0,315,15,15,330
job11,p1,1,a1_0,330,30,30,360
job111,p1,1,a1_0,360,30,30,390
job111,p1,2,a2_0,435,45,45,480
job111,p1,3,a1_0,390,15,15,405
job11,p1,2,a2_0,480,45,45,525
job112,p2,1,a1_0,405,15,15,420
job112,p2,2,a4_0,315,45,45,360
job112,p2,4,a2_0,525,30,30,555
job11,p1,3,a1_0,420,15,15,435
job113,p2,1,a1_0,435,15,15,450
job113,p2,2,a4_0,360,45,45,405
job113,p2,4,a2_0,555,30,30,585
job114,p1,1,a1_0,450,30,30,480
job114,p1,2,a2_0,585,45,45,630
job114,p1,3,a1_0,480,15,15,495
job115,p2,1,a1_0,495,15,15,510
job115,p2,2,a4_0,405,45,45,450
job115,p2,4,a2_0,630,30,30,660
job116,p1,1,a1_0,510,30,30,540
job116,p1,2,a2_0,660,45,45,705
job116,p1,3,a1_0,540,15,15,555
job117,p2,1,a1_0,555,15,15,570
job117,p2,2,a4_0,450,45,45,495
job117,p2,4,a2_0,705,30,30,735
job118,p2,1,a1_0,570,15,15,585
job118,p2,2,a4_0,495,45,45,540
job118,p2,4,a2_0,735,30,30,765
job119,p1,1,a1_0,585,30,30,615
job119,p1,2,a2_0,765,45,45,810
job119,p1,3,a1_0,615,15,15,630
job120,p2,1,a1_0,630,15,15,645
job120,p2,2,a4_0,540,45,45,585
job120,p2,4,a2_0,810,30,30,840
job12,p1,1,a1_0,645,30,30,675
job121,p2,1,a1_0,675,15,15,690
job121,p2,2,a4_0,585,45,45,630
job121,p2,4,a2_0,840,30,30,870
job12,p1,2,a2_0,870,45,45,915
job122,p1,1,a1_0,690,30,30,720
job122,p1,2,a2_0,915,45,45,960
job122,p1,3,a1_0,720,15,15,735
job12,p1,3,a1_0,735,15,15,750
job123,p2,1,a1_0,750,15,15,765
job123,p2,2,a4_0,630,45,45,675
job123,p2,4,a2_0,960,30,30,990
job124,p2,1,a1_0,765,15,15,780
job124,p2,2,a4_0,675,45,45,720
job124,p2,4,a2_0,990,30,30,1020
job125,p2,1,a1_0,780,15,15,795
job125,p2,2,a4_0,720,45,45,765
job125,p2,4,a2_0,1020,30,30,1050
job126,p2,1,a1_0,795,15,15,810
job126,p2,2,a4_0,765,45,45,810
job126,p2,4,a2_0,1050,30,30,1080
job127,p1,1,a1_0,810,30,30,840
job127,p1,2,a2_0,1080,45,45,1125
job127,p1,3,a1_0,840,15,15,855
job128,p1,1,a1_0,855,30,30,885
job128,p1,2,a2_0,1125,45,45,1170
job128,p1,3,a1_0,885,15,15,900
job129,p1,1,a1_0,900,30,30,930
job129,p1,2,a2_0,1170,45,45,1215
job129,p1,3,a1_0,930,15,15,945
job130,p2,1,a1_0,945,15,15,960
job130,p2,2,a4_0,810,45,45,855
job130,p2,4,a2_0,1215,30,30,1245
job13,p1,1,a1_0,960,30,30,990
job131,p2,1,a1_0,990,15,15,1005
job131,p2,2,a4_0,855,45,45,900
job131,p2,4,a2_0,1245,30,30,1275
job13,p1,2,a2_0,1275,45,45,1320
job132,p2,1,a1_0,1005,15,15,1020
job132,p2,2,a4_0,900,45,45,945
job132,p2,4,a2_0,1320,30,30,1350
job13,p1,3,a1_0,1020,15,15,1035
job133,p1,1,a1_0,1035,30,30,1065
job133,p1,2,a2_0,1350,45,45,1395
job133,p1,3,a1_0,1065,15,15,1080
job134,p1,1,a1_0,1080,30,30,1110
job134,p1,2,a2_0,1395,45,45,1440
job134,p1,3,a1_0,1110,15,15,1125
job135,p2,1,a1_0,1125,15,15,1140
job135,p2,2,a4_0,945,45,45,990
job135,p2,4,a2_0,1440,30,30,1470
job136,p2,1,a1_0,1140,15,15,1155
job136,p2,2,a4_0,990,45,45,1035
job136,p2,4,a2_0,1470,30,30,1500
job137,p1,1,a1_0,1155,30,30,1185
job137,p1,2,a2_0,1500,45,45,1545
job137,p1,3,a1_0,1185,15,15,1200
job138,p1,1,a1_0,1200,30,30,1230
job138,p1,2,a2_0,1545,45,45,1590
job138,p1,3,a1_0,1230,15,15,1245
job139,p1,1,a1_0,1245,30,30,1275
job139,p1,2,a2_0,1590,45,45,1635
job139,p1,3,a1_0,1275,15,15,1290
job140,p2,1,a1_0,1290,15,15,1305
job140,p2,2,a4_0,1035,45,45,1080
job140,p2,4,a2_0,1635,30,30,1665
job14,p2,1,a1_0,1305,15,15,1320
job141,p2,1,a1_0,1320,15,15,1335
job141,p2,2,a4_0,1080,45,45,1125
job141,p2,4,a2_0,1665,30,30,1695
job14,p2,2,a4_0,1125,45,45,1170
job142,p1,1,a1_0,1335,30,30,1365
job142,p1,2,a2_0,1695,45,45,1740
job142,p1,3,a1_0,1365,15,15,1380
job143,p1,1,a1_0,1380,30,30,1410
job143,p1,2,a2_0,1740,45,45,1785
job143,p1,3,a1_0,1410,15,15,1425
job14,p2,4,a2_0,1785,30,30,1815
job144,p2,1,a1_0,1425,15,15,1440
job144,p2,2,a4_0,1170,45,45,1215
job144,p2,4,a2_0,1815,30,30,1845
job145,p1,1,a1_0,1440,30,30,1470
job145,p1,2,a2_0,1845,45,45,1890
job145,p1,3,a1_0,1470,15,15,1485
job146,p2,1,a1_0,1485,15,15,1500
job146,p2,2,a4_0,1215,45,45,1260
job146,p2,4,a2_0,1890,30,30,1920
job147,p1,1,a1_0,1500,30,30,1530
job147,p1,2,a2_0,1920,45,45,1965
job147,p1,3,a1_0,1530,15,15,1545
job148,p1,1,a1_0,1545,30,30,1575
job148,p1,2,a2_0,1965,45,45,2010
job148,p1,3,a1_0,1575,15,15,1590
job149,p2,1,a1_0,1590,15,15,1605
job149,p2,2,a4_0,1260,45,45,1305
job149,p2,4,a2_0,2010,30,30,2040
job150,p2,1,a1_0,1605,15,15,1620
job150,p2,2,a4_0,1305,45,45,1350
job150,p2,4,a2_0,2040,30,30,2070
job15,p1,1,a1_0,1620,30,30,1650
job151,p1,1,a1_0,1650,30,30,1680
job151,p1,2,a2_0,2070,45,45,2115
job151,p1,3,a1_0,1680,15,15,1695
job15,p1,2,a2_0,2115,45,45,2160
job152,p1,1,a1_0,1695,30,30,1725
job152,p1,2,a2_0,2160,45,45,2205
job152,p1,3,a1_0,1725,15,15,1740
job15,p1,3,a1_0,1740,15,15,1755
job16,p1,1,a1_0,1755,30,30,1785
job16,p1,2,a2_0,2205,45,45,2250
