job_id,product_type,operation_id,machine,start_time,duration,plan_duration,end_time
job100,p2,1,a1_0,0.0,15,18.0,18.0
job100,p2,2,a4_0,0.0,45,45.0,45.0
job100,p2,4,a2_0,0.0,30,36.0,36.0
job10,p1,1,a1_0,18.0,30,36.0,54.0
job101,p2,1,a1_0,54.0,15,18.0,72.0
job101,p2,2,a4_0,45.0,45,54.0,99.0
job101,p2,4,a2_0,36.0,30,36.0,72.0
job10,p1,2,a2_0,72.0,45,54.0,126.0
job102,p2,1,a1_0,72.0,15,15.0,87.0
job102,p2,2,a4_0,99.0,45,54.0,153.0
job102,p2,4,a2_0,126.0,30,36.0,162.0
job10,p1,3,a1_0,87.0,15,18.0,105.0
job103,p1,1,a1_0,105.0,30,36.0,141.0
job103,p1,2,a2_0,162.0,45,54.0,216.0
job103,p1,3,a1_0,141.0,15,18.0,159.0
job104,p2,1,a1_0,159.0,15,15.0,174.0
job104,p2,2,a4_0,153.0,45,54.0,207.0
job104,p2,4,a2_0,216.0,30,36.0,252.0
job105,p2,1,a1_0,174.0,15,18.0,192.0
job105,p2,2,a4_0,207.0,45,54.0,261.0
job105,p2,4,a2_0,252.0,30,30.0,282.0
job106,p2,1,a1_0,192.0,15,18.0,210.0
job106,p2,2,a4_0,261.0,45,45.0,306.0
job106,p2,4,a2_0,282.0,30,30.0,312.0
job107,p1,1,a1_0,210.0,30,30.0,240.0
job107,p1,2,a2_0,312.0,45,54.0,366.0
job107,p1,3,a1_0,240.0,15,18.0,258.0
job108,p2,1,a1_0,258.0,15,18.0,276.0
job108,p2,2,a4_0,306.0,45,54.0,360.0
job108,p2,4,a2_0,366.0,30,36.0,402.0
job109,p1,1,a1_0,276.0,30,36.0,312.0
job109,p1,2,a2_0,402.0,45,54.0,456.0
job109,p1,3,a1_0,312.0,15,15.0,327.0
job110,p1,1,a1_0,327.0,30,36.0,363.0
job110,p1,2,a2_0,456.0,45,54.0,510.0
job110,p1,3,a1_0,363.0,15,18.0,381.0
job11,p1,1,a1_0,381.0,30,36.0,417.0
job111,p1,1,a1_0,417.0,30,30.0,447.0
job111,p1,2,a2_0,510.0,45,54.0,564.0
job111,p1,3,a1_0,447.0,15,15.0,462.0
job11,p1,2,a2_0,564.0,45,45.0,609.0
job112,p2,1,a1_0,462.0,15,18.0,480.0
job112,p2,2,a4_0,360.0,45,45.0,405.0
job112,p2,4,a2_0,609.0,30,30.0,639.0
job11,p1,3,a1_0,480.0,15,18.0,498.0
job113,p2,1,a1_0,498.0,15,18.0,516.0
job113,p2,2,a4_0,405.0,45,45.0,450.0
job113,p2,4,a2_0,639.0,30,36.0,675.0
job114,p1,1,a1_0,516.0,30,36.0,552.0
job114,p1,2,a2_0,675.0,45,45.0,720.0
job114,p1,3,a1_0,552.0,15,18.0,570.0
job115,p2,1,a1_0,570.0,15,18.0,588.0
job115,p2,2,a4_0,450.0,45,45.0,495.0
job115,p2,4,a2_0,720.0,30,36.0,756.0
job116,p1,1,a1_0,588.0,30,30.0,618.0
job116,p1,2,a2_0,756.0,45,45.0,801.0
job116,p1,3,a1_0,618.0,15,15.0,633.0
job117,p2,1,a1_0,633.0,15,15.0,648.0
job117,p2,2,a4_0,495.0,45,54.0,549.0
job117,p2,4,a2_0,801.0,30,36.0,837.0
job118,p2,1,a1_0,648.0,15,18.0,666.0
job118,p2,2,a4_0,549.0,45,54.0,603.0
job118,p2,4,a2_0,837.0,30,36.0,873.0
