job_id,product_type,operation_id,machine,start_time,duration,plan_duration,end_time
job3,p2,1,a1_0,2499.0,18.0,18.0,2517.0
job3,p2,2,a4_0,1935.0,45.0,54.0,1980.0
job3,p2,3,a3_0,2529.0,18.0,15.0,2547.0
job3,p2,4,a2_0,3201.0,30.0,30.0,3231.0
job3,p2,5,a4_0,4527.0,18.0,15.0,4545.0
job4,p1,1,a1_0,2718.0,36.0,36.0,2754.0
job4,p1,2,a2_0,3510.0,54.0,54.0,3564.0
job4,p1,3,a1_0,2787.0,18.0,15.0,2805.0
job4,p1,4,a3_0,3564.0,15.0,18.0,3579.0
job5,p1,1,a1_0,3183.0,36.0,36.0,3219.0
job5,p1,2,a2_0,3999.0,45.0,54.0,4044.0
job5,p1,3,a1_0,3285.0,15.0,18.0,3300.0
job5,p1,4,a3_0,4044.0,18.0,15.0,4062.0
job6,p1,1,a1_0,3567.0,30.0,30.0,3597.0
job6,p1,2,a2_0,4488.0,54.0,54.0,4542.0
job6,p1,3,a1_0,3687.0,18.0,15.0,3705.0
job6,p1,4,a3_0,4542.0,15.0,18.0,4557.0
job7,p2,1,a1_0,3906.0,18.0,18.0,3924.0
job7,p2,2,a4_0,3060.0,54.0,45.0,3114.0
job7,p2,3,a3_0,3963.0,18.0,15.0,3981.0
job7,p2,4,a2_0,5055.0,36.0,36.0,5091.0
job7,p2,5,a4_0,5091.0,18.0,18.0,5109.0
job8,p2,1,a1_0,4293.0,18.0,18.0,4311.0
job8,p2,2,a4_0,3312.0,45.0,45.0,3357.0
job8,p2,3,a3_0,4311.0,18.0,18.0,4329.0
job8,p2,4,a2_0,5523.0,30.0,30.0,5553.0
job8,p2,5,a4_0,5553.0,15.0,15.0,5568.0
job9,p2,1,a1_0,4650.0,15.0,15.0,4665.0
job9,p2,2,a4_0,3627.0,45.0,54.0,3672.0
job9,p2,3,a3_0,4668.0,18.0,15.0,4686.0
job9,p2,4,a2_0,5985.0,36.0,36.0,6021.0
job9,p2,5,a4_0,6021.0,15.0,18.0,6036.0
job10,p1,1,a1_0,18.0,36.0,30.0,54.0
job10,p1,2,a2_0,72.0,45.0,54.0,117.0
job10,p1,3,a1_0,87.0,18.0,18.0,105.0
job10,p1,4,a3_0,126.0,15.0,18.0,141.0
job11,p1,1,a1_0,378.0,36.0,36.0,414.0
job11,p1,2,a2_0,525.0,45.0,45.0,570.0
job11,p1,3,a1_0,480.0,18.0,15.0,498.0
job11,p1,4,a3_0,570.0,18.0,18.0,588.0
job12,p1,1,a1_0,726.0,36.0,36.0,762.0
job12,p1,2,a2_0,957.0,45.0,54.0,1002.0
job12,p1,3,a1_0,834.0,18.0,15.0,852.0
job12,p1,4,a3_0,1011.0,15.0,18.0,1026.0
job13,p1,1,a1_0,1077.0,30.0,30.0,1107.0
job13,p1,2,a2_0,1431.0,45.0,45.0,1476.0
job13,p1,3,a1_0,1140.0,15.0,18.0,1155.0
job13,p1,4,a3_0,1485.0,18.0,18.0,1503.0
job14,p2,1,a1_0,1470.0,15.0,18.0,1485.0
job14,p2,2,a4_0,1278.0,54.0,54.0,1332.0
job14,p2,3,a3_0,1503.0,18.0,18.0,1521.0
job14,p2,4,a2_0,1998.0,30.0,30.0,2028.0
job14,p2,5,a4_0,4272.0,15.0,15.0,4287.0
job15,p1,1,a1_0,1827.0,30.0,36.0,1857.0
job15,p1,2,a2_0,2367.0,54.0,54.0,2421.0
job15,p1,3,a1_0,1959.0,15.0,15.0,1974.0
job15,p1,4,a3_0,2421.0,15.0,15.0,2436.0
job16,p1,1,a1_0,1974.0,36.0,36.0,2010.0
job16,p1,2,a2_0,2466.0,45.0,45.0,2511.0
job16,p1,3,a1_0,2010.0,15.0,15.0,2025.0
job16,p1,4,a3_0,2511.0,18.0,18.0,2529.0
job17,p2,1,a1_0,2025.0,15.0,18.0,2040.0
job17,p2,2,a4_0,1530.0,45.0,54.0,1575.0
job17,p2,3,a3_0,2040.0,18.0,18.0,2058.0
job17,p2,4,a2_0,2511.0,30.0,30.0,2541.0
job17,p2,5,a4_0,4356.0,15.0,18.0,4371.0
job18,p2,1,a1_0,2040.0,15.0,18.0,2055.0
job18,p2,2,a4_0,1575.0,45.0,54.0,1620.0
job18,p2,3,a3_0,2058.0,15.0,18.0,2073.0
job18,p2,4,a2_0,2541.0,30.0,36.0,2571.0
job18,p2,5,a4_0,4371.0,15.0,15.0,4386.0
job19,p1,1,a1_0,2055.0,36.0,36.0,2091.0
job19,p1,2,a2_0,2571.0,45.0,45.0,2616.0
job19,p1,3,a1_0,2091.0,15.0,15.0,2106.0
job19,p1,4,a3_0,2625.0,15.0,15.0,2640.0
